PROV,COMUNE - DENOMINAZIONE,CODICE,LOCALITA',X,Y, Q (m s.l.m.),NOTE,STRAT.,FALDA,PUBBLICO,gen-01,feb-01,mar-01,apr-01,mag-01,giu-01,lug-01,ago-01,set-01,ott-01,nov-01,dic-01,gen-02,feb-02,mar-02,apr-02,mag-02,giu-02,lug-02,ago-02,set-02,ott-02,nov-02,dic-02,gen-03,feb-03,mar-03,apr-03
MI - MONZA,BRUGHERIO - CAP,150340123,via Volano FEM,1523293,5042878,139,,,,,,,,,,,,,,,,,121.4,121,120.6,121.7,122,122.6,,124,124.4,,,,123.9,123.6,123.1,
MI - Par.,BUBBIANO,150350003,via Noè,1501099,5019569,104.19,,X,3,,,,,,98.49,98.89,99.19,99.49,99.19,98.79,,,98.19,98.59,98.39,97.99,98.49,98.59,,99.19,99.39,,,,99.39,99.19,98.79,
MI - Par.,BUCCINASCO,150360002,via  Lario,1508474,5029898,107.39,,X,2,,,,,,107.39,107.49,107.59,107.99,107.79,107.49,,,100.99,100.59,100.69,,101.19,100.99,101.04,101.39,101.39,,,,100.69,101.09,100.69,
CO,BULGAROGRASSO- Az. Colline Comasche-pozzo 1,6(8),via Montichiari,1500420,5065600,327,,X,2,,,,,,,,,,274,,273.8,,,284.7,284.71,284.2,286.69,286.95,285.32,,,,,,,,,
VA,BUSTO A.,PO1202602103T0,ZONA INDUSTRIALE,1486405,5048283,210.5,,,,,,,,,177.93,178.3,177.73,177.63,177.62,177.28,177.43,177.15,,,,,,,,,,,,,,,,
VA,BUSTO A.,PO1202602103T0,via Marco Polo,1486405,5048283,210.5,,X,SUPERF.,,,,,,,,,,,,,,177.03,176.83,176.68,176.65,176.83,177.06,176.93,177.13,177.32,,,,180.03,177.1,,
CO,CABIATE - S.E.T. srl - pozzo 1,12(17),via Buozzi,1514195,5057470,237,,X,2,,,,,,,,,,,207,207,205.95,,205.2,,,,204.6,,,,,,,207.1,207.9,207.5,
PV,CANDIA 1,45,,1468415,5003205,103.2,,X,2,,,,,,,,,101.54,99.8,99.94,99.48,99.57,99.2,99.35,99.23,99.65,101.4,101.56,101.6,101.41,100.4,,,,99.71,99.42,,
CO,CANTU' - Canturina Servizi spa - pozzo S. Antonino,10 (14),Cascna S.Antonino,1509350,5065650,305,,X,2,,,,,,,,,,224.2,224.6,225.1,224.96,,224.07,224.31,,224.62,224.22,,224.26,,,,,225.65,225.7,225.8,225.73
CO,CANTU' - p. Asnago 4- Canturina Servizi spa,13,Asnago,,,260,,,,,,,,,,227.7,,,229.9,228.7,228.5,227.61,,,,,,,,,,,,,,,,
