CODICE,ORIGINE,COMUNE,INDIRIZZO,X,Y,Z,COD_PTUA16,SIGLA
"980180001",CAP,CERVIGNANO D'ADDA                                                                                                                                                                                                                                             ,Piazza Caduti                                                                                                                                                                                                                                                 ,1533303,5024632,87.97,IT03GWBISSMPLAN,LO
"980200001",CAP,COMAZZO                                                                                                                                                                                                                                                       ,Piazza Caduti                                                                                                                                                                                                                                                 ,1536534,5032132,90.77,IT03GWBISSMPLAN,LO
"980200003",CAP,COMAZZO                                                                                                                                                                                                                                                       ,Serbatoio                                                                                                                                                                                                                                                     ,1536250,5032285,94.19,IT03GWBISSMPLAN,LO
"980390001",CAP,MERLINO                                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                              ,1533610,5031132,97.92,IT03GWBISSMPLAN,LO
"980410001",CAP,MULAZZANO                                                                                                                                                                                                                                                     ,via Lago Maggiore                                                                                                                                                                                                                                             ,1531414,5024506,90.43,IT03GWBISSMPLAN,LO
"980610001",CAP,ZELO BUON PERSICO                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                              ,1533977,5028730,94.59,IT03GWBISSMPLAN,LO
"181140002",CAP,PIEVE PORTO MORONE                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                              ,1534790,4995405,54.68,IT03GWBISSBPPO,PV
"180700001",CAP,GENZONE                                                                                                                                                                                                                                                       ,via Cairoli                                                                                                                                                                                                                                                   ,1527575,5002880,73.99,IT03GWBISSMPTLS,PV
"180780001",CAP,LANDRIANO                                                                                                                                                                                                                                                     ,Piazza Marconi                                                                                                                                                                                                                                                ,1520475,5017674,85.63,IT03GWBISSMPTLS,PV
"181800003",CAP,VILLANTERIO                                                                                                                                                                                                                                                   ,fraz.Bolognola                                                                                                                                                                                                                                                ,1526970,5009965,75.96,IT03GWBISSMPTLS,PV
"180930002",CAP,MIRADOLO TERME                                                                                                                                                                                                                                                ,                                                                                                                                                                                                                                                              ,1535650,5001980,68.88,IT03GWBISSMPTLS,PV
"181390002",CAP,SANTA CRISTINA E BISSONE                                                                                                                                                                                                                                      ,via Milano                                                                                                                                                                                                                                                    ,1531095,5000710,68.79,IT03GWBISSMPTLS,PV
"181500002",CAP,SIZIANO                                                                                                                                                                                                                                                       ,I Maggio                                                                                                                                                                                                                                                      ,1515666,5017906,90.06,IT03GWBISSMPTLS,PV
"181570001",CAP,TORRE D'ARESE                                                                                                                                                                                                                                                 ,Morivione                                                                                                                                                                                                                                                     ,1525155,5009818,77.34,IT03GWBISSMPTLS,PV
