gid,id_punto,id_originale,id_ente,tipo_punto,id_acquifero,id_hydros,presenza_strat,stratigrafia_pdf,istat_comune,istat_prov,x_sr1,y_sr1,x_sr2,y_sr2,quota_testa_tubo,nota_coordinate,quota_piano_campagna,fonte_quota_piano_campagna,indirizzo_punto,ente_gestore,proprieta,indirizzo_proprieta,fonte,bacino_idro,note
51,PO0170590UC609,,,POZZO,,,,,COLOGNE,BS,1573715.0,5047385.0,573688.0,5047365.0,172.98,,172.98,,,,,,PTUA2022,IT03GWBISSAPOM,
52,PO0170600UC013,,,POZZO,,,,,COMEZZANO - CIZZAGO,BS,1574609.0,5036396.0,574582.0,5036376.0,109.54,,108.89,,,,,,PTUA2022,IT03GWBISSMPOM,
53,PO0170710RC478,,,PIEZOMETRO,,,,,FIESSE,BS,1604088.0,5008251.0,604060.0,5008231.0,41.5,,40.78,,,,,,PTUA2022,IT03GWBISSMPOM,
54,PO017073NUP001,,,POZZO,,,,,GAMBARA,BS,1601147.0,5012366.0,601119.0,5012346.0,48.524,,48.324,,,,,,PTUA2022,IT03GWBISSMPOM,
55,PO0170860UC579,,,POZZO,,,,,ISORELLA,BS,1604146.0,5018664.0,604118.0,5018644.0,55.48,,55.78,,,,,,PTUA2022,IT03GWBISSMPOM,
56,PO0170880RC541,,,PIEZOMETRO,,,,,LENO,BS,1596052.0,5022698.0,596024.0,5022678.0,62.16,,62.16,,,,,,PTUA2022,IT03GWBISSMPOM,
57,PO0171130RC561,,,PIEZOMETRO,,,,,MONTICHIARI,BS,1605394.0,5033615.0,605366.0,5033595.0,118.75,,120.0,,,,,,PTUA2022,IT03GWBISSAPOM,
58,PO017113NRD106,,,POZZO,,,,,MONTICHIARI,BS,1605228.0,5032203.0,605200.0,5032183.0,111.68,,111.28,,,,,,PTUA2022,IT03GWBISSAPOM,
59,PO0171140UC023,,,POZZO,,,,,MONTIRONE,BS,1596343.0,5033180.0,596315.0,5033160.0,98.78,,100.61,,,,,,PTUA2022,IT03GWBISSAPOM,
60,PO0171500UC557,,,POZZO,,,,,PONTOGLIO,BS,1567026.0,5046862.0,566999.0,5046842.0,154.43,,156.23,,,,,,PTUA2022,IT03GWBISSAPOM,
61,PO0171630UC032,,,POZZO,,,,,RODENGO SAIANO,BS,1586957.0,5049659.0,586929.0,5049639.0,172.4,,172.4,,,,,,PTUA2022,IT03GWBISSAPOM,
62,PO0171660UC529,,,POZZO,,,,,ROVATO,BS,1579399.0,5046613.0,579372.0,5046593.0,176.48,,176.48,,,,,,PTUA2022,IT03GWBISSAPOM,
63,PO0171960RC629,,,POZZO,,,,,VEROLAVECCHIA,BS,1581582.0,5015456.0,581554.0,5015436.0,49.54,,50.09,,,,,,PTUA2022,IT03GWBISSMPOM,
64,PO0130230U0003,,,POZZO,,,,,BINAGO,CO,1492831.0,5069906.0,492805.0,5069886.0,372.084,,373.384,,,,,,PTUA2022,IT03GWBISSAPTA,
65,PO0130280U0009,,,POZZO,,,,,BREGNANO,CO,1503977.0,5061937.0,503950.0,5061917.0,281.548,,283.013,,,,,,PTUA2022,IT03GWBISSAPTA,
66,PO013029NU0003,,,POZZO,,,,,BRENNA,CO,1514944.0,5064415.0,514917.0,5064395.0,340.871,,342.371,,,,,,PTUA2022,IT03GWBISSAPTA,
67,PO0130460U0001,,,POZZO,,,,,CARIMATE,CO,1508169.0,5061986.0,508142.0,5061966.0,250.348,,253.598,,,,,,PTUA2022,IT03GWBISSAPTA,
68,PO013064NU0002,,,POZZO,,,,,CERMENATE,CO,1506455.0,5061527.0,506428.0,5061507.0,301.932,,304.572,,,,,,PTUA2022,IT03GWBISSAPTA,
69,PO0131000U0002,,,POZZO,,,,,FENEGRO',CO,1500080.0,5061944.0,500053.0,5061924.0,301.197,,300.817,,,,,,PTUA2022,IT03GWBISSAPTA,
70,PO0131310U0001,,,POZZO,,,,,LOCATE VARESINO,CO,1494622.0,5059677.0,494595.0,5059657.0,272.942,,273.982,,,,,,PTUA2022,IT03GWBISSAPTA,
71,PO0131330U0009,,,POZZO,,,,,LOMAZZO,CO,1502044.0,5061531.0,502017.0,5061511.0,303.805,,306.115,,,,,,PTUA2022,IT03GWBISSAPTA,
72,PO013138NU0001,,,POZZO,,,,,LURATE CACCIVIO,CO,1499675.0,5067227.0,499648.0,5067207.0,324.141,,326.341,,,,,,PTUA2022,IT03GWBISSAPTA,
73,PO013143NUP001,,,POZZO,,,,,MARIANO COMENSE,CO,1513136.0,5061586.0,513110.0,5061567.0,284.119,,285.209,,,,,,PTUA2022,IT03GWBISSAPTA,
74,PO0131590U0001,,,POZZO,,,,,MOZZATE,CO,1495984.0,5058535.0,495957.0,5058515.0,260.0,,261.965,,,,,,PTUA2022,IT03GWBISSAPTA,
75,PO0131690U0001,,,POZZO,,,,,OLTRONA DI SAN MAMETTE,CO,1497858.0,5067077.0,497832.0,5067057.0,366.316,,367.466,,,,,,PTUA2022,IT03GWBISSAPTA,
76,PO019021NRA001,,,POZZO,,,,,CASALMAGGIORE,CR,1612303.0,4981188.0,612274.0,4981169.0,23.57,,23.57,,,,,,PTUA2022,IT03GWBISSBPPO,
77,PO019027NRA001,,,PIEZOMETRO,,,,,CASTELVISCONTI,CR,1574426.0,5015792.0,574398.0,5015772.0,65.2,,64.48,,,,,,PTUA2022,IT03GWBISSMPAO,
78,PO019033NRA001,,,PIEZOMETRO,,,,,CORTE DE' FRATI,CR,1586592.0,5006566.0,586564.0,5006546.0,48.01,,47.83,,,,,,PTUA2022,IT03GWBISSMPAO,
79,PO019035NRA001,,,PIEZOMETRO,,,,,CREMA,CR,1552672.0,5022953.0,552645.0,5022933.0,77.81,,77.81,,,,,,PTUA2022,IT03GWBISSMPAO,
80,PO019036NUA001,,,PIEZOMETRO,,,,,CREMONA,CR,1583006.0,4998561.0,582978.0,4998541.0,42.99,,43.3,,,,,,PTUA2022,IT03GWBISSMPAO,
81,PO019040NRA001,,,PIEZOMETRO,,,,,DEROVERE,CR,1597866.0,4994960.0,597838.0,4994940.0,32.95,,32.7,,,,,,PTUA2022,IT03GWBISSBPPO,
