gid,id_punto,fkid,data,codice_campagna,secco,prodotto,spessore_prodotto,quota_falda,soggiacenza,quota_ref,riferimento_soggiacenza,fonte,note
110,PO0160240R0296,3,2020-08-01,,no,,,183.06,,232.0,,PTUA2022,
111,PO0160240R0296,3,2020-09-01,,no,,,181.93,,232.0,,PTUA2022,
112,PO0160240R0296,3,2020-10-01,,no,,,182.44,,232.0,,PTUA2022,
113,PO0160240R0296,3,2021-01-01,,no,,,181.94,,232.0,,PTUA2022,
114,PO0160240R0296,3,2021-02-01,,no,,,182.21,,232.0,,PTUA2022,
115,PO0160280R0003,4,2010-01-01,,no,,,177.164,,192.624,,PTUA2022,
116,PO0160280R0003,4,2010-02-01,,no,,,176.044,,192.624,,PTUA2022,
117,PO0160280R0003,4,2010-03-01,,no,,,176.594,,192.624,,PTUA2022,
118,PO0160280R0003,4,2010-05-01,,no,,,176.374,,192.624,,PTUA2022,
119,PO0160280R0003,4,2010-06-01,,no,,,176.824,,192.624,,PTUA2022,
120,PO0160280R0003,4,2010-07-01,,no,,,177.174,,192.624,,PTUA2022,
121,PO0160280R0003,4,2010-08-01,,no,,,176.764,,192.624,,PTUA2022,
122,PO0160280R0003,4,2010-09-01,,no,,,176.914,,192.624,,PTUA2022,
123,PO0160280R0003,4,2010-10-01,,no,,,176.334,,192.624,,PTUA2022,
124,PO0160280R0003,4,2010-11-01,,no,,,177.394,,192.624,,PTUA2022,
125,PO0160280R0003,4,2010-12-01,,no,,,178.944,,192.624,,PTUA2022,
126,PO0160280R0003,4,2011-01-01,,no,,,178.404,,192.624,,PTUA2022,
127,PO0160280R0003,4,2011-02-01,,no,,,175.834,,192.624,,PTUA2022,
128,PO0160280R0003,4,2011-03-01,,no,,,175.354,,192.624,,PTUA2022,
129,PO0160280R0003,4,2011-04-01,,no,,,175.274,,192.624,,PTUA2022,
130,PO0160280R0003,4,2011-05-01,,no,,,175.404,,192.624,,PTUA2022,
131,PO0160280R0003,4,2011-06-01,,no,,,175.994,,192.624,,PTUA2022,
132,PO0160280R0003,4,2011-07-01,,no,,,175.934,,192.624,,PTUA2022,
133,PO0160280R0003,4,2011-08-01,,no,,,176.704,,192.624,,PTUA2022,
134,PO0160280R0003,4,2011-09-01,,no,,,176.384,,192.624,,PTUA2022,
135,PO0160280R0003,4,2011-10-01,,no,,,175.854,,192.624,,PTUA2022,
136,PO0160280R0003,4,2011-11-01,,no,,,175.374,,192.624,,PTUA2022,
137,PO0160280R0003,4,2011-12-01,,no,,,175.214,,192.624,,PTUA2022,
138,PO0160280R0003,4,2012-01-01,,no,,,174.574,,192.624,,PTUA2022,
139,PO0160280R0003,4,2012-02-01,,no,,,174.474,,192.624,,PTUA2022,
140,PO0160280R0003,4,2012-03-01,,no,,,173.894,,192.624,,PTUA2022,
141,PO0160280R0003,4,2012-04-01,,no,,,173.804,,192.624,,PTUA2022,
142,PO0160280R0003,4,2012-05-01,,no,,,174.924,,192.624,,PTUA2022,
143,PO0160280R0003,4,2012-06-01,,no,,,175.604,,192.624,,PTUA2022,
144,PO0160280R0003,4,2012-07-01,,no,,,176.464,,192.624,,PTUA2022,
145,PO0160280R0003,4,2012-08-01,,no,,,176.794,,192.624,,PTUA2022,
146,PO0160280R0003,4,2012-09-01,,no,,,176.034,,192.624,,PTUA2022,
147,PO0160280R0003,4,2012-10-01,,no,,,175.694,,192.624,,PTUA2022,
148,PO0160280R0003,4,2012-11-01,,no,,,177.874,,192.624,,PTUA2022,
149,PO0160280R0003,4,2012-12-01,,no,,,177.974,,192.624,,PTUA2022,
150,PO0160280R0003,4,2013-01-01,,no,,,175.844,,192.624,,PTUA2022,
151,PO0160280R0003,4,2013-02-01,,no,,,176.114,,192.624,,PTUA2022,
152,PO0160280R0003,4,2013-03-01,,no,,,175.384,,192.624,,PTUA2022,
153,PO0160280R0003,4,2013-04-01,,no,,,176.264,,192.624,,PTUA2022,
