CODICETOOL,PROV,COMUNE,DENOMINAZIONE,CODICE,LOCALITA,X,Y,Q,NOTE,STRAT.,FALDA,INZ_FLT,FIN_FLT,FLT1_DA,FLT1_A,FLT2_DA,FLT2_A,FLT3_DA,FLT3_A,FLT4_DA,FLT4_A,FLT5_DA,FLT5_A,FLT6_DA,FLT6_A,FLT7_DA,FLT7_A,FLT8_DA,FLT8_A,FLT9_DA,FLT9_A,FLT10_DA,FLT10_A,FLT11_DA,FLT11_A,FLT12_DA,FLT12_A,L.S. ,L.D. ,Q.1,ANNO,PROFONDITA' COLONNA,CODICETOOL
BULGAROGRASSO6(8),CO,BULGAROGRASSO,Az. Colline Comasche pozzo 1,6(8),via Montichiari,1500420.0,5065600.0,327.0,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BULGAROGRASSO6(8)
BUSTO A.PO1202602103T0,VA,BUSTO A.,,PO1202602103T0,ZONA INDUSTRIALE,1486405.0,5048283.0,210.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUSTO A.PO1202602103T0
CABIATE12(17),CO,CABIATE,S.E.T. srl   pozzo 1,12(17),via Buozzi,1514195.0,5057470.0,237.0,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CABIATE12(17)
CANDIA 145,PV,CANDIA,ASM - 1,45,,1468415.0,5003205.0,103.2,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANDIA45
CANTU'10 (14),CO,CANTU',Canturina Servizi spa   pozzo S. Antonino,10 (14),Cascna S.Antonino,1509350.0,5065650.0,305.0,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANTU'10 (14)
CANTU'13,CO,CANTU',p. Asnago 4  Canturina Servizi spa,13,Asnago,,,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANTU'13
CAPIAGO INTIMIANO15 (22),CO,CAPIAGO INTIMIANO,Az.Colline Com. pozzo Guastone 1,15 (22),Via Roma,1510495.0,5068940.0,420.0,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAPIAGO INTIMIANO15 (22)
CAPPELLA DE' PICENARDI19014.0001,CR,CAPPELLA DE' PICENARDI,,19014.0001,via Cavour,1596934.0,5001321.0,42.0,,X,3,153.6,163.1,153.6,163.1,,,,,,,,,,,,,,,,,,,,,,,,,,,169.0,CAPPELLA DE' PICENARDI19014.0001
CARAVAGGIO160530002,BG,CARAVAGGIO,Amministrazione Comunale,160530002,via Zelioli,1550077.0,5039136.0,114.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARAVAGGIO160530002
CARBONATE1,CO,CARBONATE,Acqua Serpio spa,1,via Giovanni XXIII,,,186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARBONATE1
CARIMATE9(12),CO,CARIMATE,Canturina Servizi spa   pozzo 2,9(12),Valle Serenza,1508600.0,5060822.0,244.0,,x,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARIMATE9(12)
CARNATE154900019,MI - MONZA,CARNATE,CAP,154900019,Grandi x Usmate,1529290.0,5054175.0,215.226,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARNATE154900019
CARNATE154900021,MI - MONZA,CARNATE,CAP,154900021,Grandi nuovo,1529290.0,5054175.0,215.226,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARNATE154900021
CARONNO P.PO1203400600T0,VA,CARONNO P.,,PO1203400600T0,via della Vittoria,1503390.0,5049745.0,192.5,,X,MISTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARONNO P.PO1203400600T0
CARPENEDOLO9,BS,CARPENEDOLO,ARPA,9,P. LAMETTA VIA ERCOLIANI,1612731.0,5025701.0,80.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARPENEDOLO9
CASALE LITTAPO1203600300T0,VA,CASALE LITTA,,PO1203600300T0,Firello - Villa Dosia,1479360.0,5065190.0,280.72,,X,SUPERF. (acquifero locale),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASALE LITTAPO1203600300T0
CASALETTO VAPRIO19020.0001,CR,CASALETTO VAPRIO,,19020.0001,via Don Gnocchi,1549003.0,5028336.0,86.0,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASALETTO VAPRIO19020.0001
CASALMAGGIORE19021.0008,CR,CASALMAGGIORE,8,19021.0008,Vicomoscano,1613736.375,4981155.5,26.0,,X,2,138.0,142.0,138.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0,CASALMAGGIORE19021.0008
CASALROMANO23,MN,CASALROMANO,,23,via del Dosso 18 - Fontanella Grazioli,1604660.0,5005280.0,37.90000153,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASALROMANO23
CASALROMANO24,MN,CASALROMANO,,24,via IV Novembre (vicino al pensile),1607830.0,5006280.0,37.70000076,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASALROMANO24
CASALROMANO25,MN,CASALROMANO,,25,Gerelli Irene,1607280.0,5005820.0,37.8,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASALROMANO25
CASATENOVOPI097016101,LC,CASATENOVO,,PI097016101,MAGGIONI (EX PIRROTTA),1524964.0,5058591.0,294.1,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASATENOVOPI097016101
CASEI GEROLA 221,PV,CASEI GEROLA,2,21,St. per Castelnuovo ,1494095.0,4983105.0,80.9,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASEI GEROLA21
CASSANO D'ADDA150590001,MI - Città,CASSANO D'ADDA,,150590001,Muzza I-5 Martiri,1540544.0,5041200.0,116.7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASSANO D'ADDA150590001
CASSOLNOVO 441,PV,CASSOLNOVO,4,41,via Tornura (pozzo vecchio),1484810.0,5023820.0,121.0,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASSOLNOVO41
CASTEL D'ARIO26,MN,CASTEL D'ARIO,,26,v.le delle Industrie - Roppi,1655200.0,5005160.0,21.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASTEL D'ARIO26
CASTEL D'ARIO27,MN,CASTEL D'ARIO,,27,v.le delle Industrie - Roppi,1655220.0,5005120.0,21.0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASTEL D'ARIO27
CASTELLUCCHIO31,MN,CASTELLUCCHIO,,31,vai Matteotti 23,1629710.0,5000790.0,27.79999924,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASTELLUCCHIO31
CASTIGLIONE DELLE STIVIERE34,MN,CASTIGLIONE DELLE STIVIERE,,34,CASTIGLIONE S.C.R.L.,1615700.0,5026120.0,82.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASTIGLIONE DELLE STIVIERE34
CASTREZZATO10,BS,CASTREZZATO,COGEME,10,via F.lli Cervi,1576452.0,5040679.0,129.5,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASTREZZATO10
CAVENAGO ADDA980170003,LO,CAVENAGO ADDA,CAP             ,980170003,via Valsecchi serb.,1547241.0,5014694.0,70.73,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAVENAGO ADDA980170003
CAVENAGO ADDA980170064,LO,CAVENAGO ADDA,,980170064,Soltarico,1544810.0,5014760.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAVENAGO ADDA980170064
CAVRIANA35,MN,CAVRIANA,,35,via Tezze 8pozzo 1),1625630.0,5021740.0,77.0,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAVRIANA35
CAVRIANA36,MN,CAVRIANA,,36,TURATI ALESSANDRO,1625900.0,5025260.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAVRIANA36
CAVRIANA37,MN,CAVRIANA,,37,Bassignani Cave s.n.c.,1625500.0,5020470.0,61.2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAVRIANA37
CAZZAGO SAN MARTINO11,BS,CAZZAGO SAN MARTINO,COGEME,11,CALINO NUOVO,1580306.0,5049766.0,195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAZZAGO SAN MARTINO11
CAZZAGO SAN MARTINO48,BS,CAZZAGO SAN MARTINO,COGEME,48,Valle Bornato,1580570.0,5049919.0,196.65,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAZZAGO SAN MARTINO48
CERGNAGO 155,PV,CERGNAGO,1,55,,1482375.0,5004830.0,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CERGNAGO55
CERMENATE11,CO,CERMENATE,Consorzio Lura Ambiente spa,11,Via I Maggio,1505880.0,5060468.0,285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CERMENATE11
CERMENATE18(2bis),CO,CERMENATE,Cons. Lura ambiente   pozzo 2,18(2bis),via Petrarca,1506475.0,5061530.0,305.0,,X, 2/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CERMENATE18(2bis)
CERNUSCO LOMBARDONEPC097020003,LC,CERNUSCO LOMBARDONE,,PC097020003,VILLA,1530522.0,5059523.0,248.0,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CERNUSCO LOMBARDONEPC097020003
CERVESINA 116,PV,CERVESINA,1,16,,1501295.0,4989950.0,70.7,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CERVESINA16
CERVIGNANO A.980180001,LO,CERVIGNANO A.,CAP               ,980180001,p.zza Caduti,1533303.0,5024632.0,81.68,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CERVIGNANO A.980180001
CHIEVE19029.0001,CR,CHIEVE,,19029.0001,via Zaninelli,1548491.25,5021128.5,78.0,,X,3,148.0,157.0,148.0,157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,166.5,CHIEVE19029.0001
CHIGNOLO D'ISOLA160722490,BG,CHIGNOLO D'ISOLA,Bergum Impianti / Flag,160722490,"via Industriale, 1",1541538.0,5057511.0,214.9,,X,1,42.0,72.0,42.0,46.0,52.0,62.0,66.0,72.0,,,,,,,,,,,,,,,,,,,50.0,57.0,10.5,1967.0,78.0,CHIGNOLO D'ISOLA160722490
CILAVEGNA 238,PV,CILAVEGNA,ASM - 2,38,via Petrarca,1480220.0,5017495.0,115.5,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CILAVEGNA38
CINGIA DE' BOTTI19031.0003,CR,CINGIA DE' BOTTI,,19031.0003,via Pievetta,1600202.0,4993266.5,30.0,,X,3,154.0,160.5,154.0,160.5,,,,,,,,,,,,,,,,,,,,,,,,,,,187.5,CINGIA DE' BOTTI19031.0003
CINISELLO BALSAMO150770023,MI - MONZA,CINISELLO BALSAMO,CAP,150770023,via Galilei,1519410.0,5044683.0,150.67,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CINISELLO BALSAMO150770023
CINISELLO BALSAMO150770073,MI - MONZA,CINISELLO BALSAMO,CAP,150770073,via Petrella,1517875.0,5045125.0,128.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CINISELLO BALSAMO150770073
CITTIGLIOPO1205100100T0,VA,CITTIGLIO,,PO1205100100T0,Municipio,1474310.0,5082435.0,245.0,,X,SUPERF. (acquifero locale),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CITTIGLIOPO1205100100T0
CIVIDATE AL PIANO160731283,BG,CIVIDATE AL PIANO,Acciaieria di Cividate S.p.a. ,160731283,Loc. Motta Alta,1565706.0,5042165.0,131.2,,X,MISTA 2/3,51.48,82.0,51.48,82.0,,,,,,,,,,,,,,,,,,,,,,,10.0,19.0,65.0,,82.0,CIVIDATE AL PIANO160731283
COLOGNE12,BS,COLOGNE,ARPA,12,VIA BRESCIA,1573702.0,5047379.0,173.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLOGNE12
COMAZZO980200001,LO,COMAZZO,CAP,980200001,p.zza Caduti,1536534.0,5032132.0,93.02,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMAZZO980200001
COMEZZANO13,BS,COMEZZANO,CIZZAGO   COGEME,13,Pozzo centro Cizzago,1574308.0,5035632.0,106.5,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMEZZANO13
CONCOREZZO150840002,MI,CONCOREZZO,,150840002,S.P.13 Malcantone,1525395.999,5047386.998,162.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONCOREZZO150840002
CORANA 117,PV,CORANA,1 - 1,17,Strada per Silvano Pietra,1497225.0,4989280.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CORANA17
CORBETTA150850004,MI - Par.,CORBETTA,,150850004,via Veneto,1494156.004,5034189.999,132.09,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CORBETTA150850004
COREZZANA150920003,MI - MONZA,COREZZANA,CAP,150920003,via Fermi,1523723.0,5056321.0,247.15,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COREZZANA150920003
CORNAREDO150870001,MI - Par.,CORNAREDO,,150870001,Campo Sportivo I,1501530.0,5037775.0,136.84,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CORNAREDO150870001
COTONIPO014061OR0001,SO,COTONI,n.4,PO014061OR0001,SONDRIO - Marzotto,1567250.0,5112867.0,294.392,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTONIPO014061OR0001
CURA 16,PV,CURA,ASM - 1,6,Borghetto,1520475.0,5007050.0,71.4,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CURA6
