CODICETOOL,PROV,COMUNE,DENOMINAZIONE,CODICE,LOCALITA,X,Y,Q,NOTE,STRAT.,FALDA,INZ_FLT,FIN_FLT,FLT1_DA,FLT1_A,FLT2_DA,FLT2_A,FLT3_DA,FLT3_A,FLT4_DA,FLT4_A,FLT5_DA,FLT5_A,FLT6_DA,FLT6_A,FLT7_DA,FLT7_A,FLT8_DA,FLT8_A,FLT9_DA,FLT9_A,FLT10_DA,FLT10_A,FLT11_DA,FLT11_A,FLT12_DA,FLT12_A,L.S. ,L.D. ,Q.1,ANNO,PROFONDITA' COLONNA,SETTORE,ORIGINE
BREMBATE0160370011,BG,BREMBATE,Beiersdorf S.p.a.,160370011,"via dei Murari, 7",1542716,5050800,181,,X,3,93,116,93,96,102.31,116,,,,,,,,,,,,,,,,,,,,,29,31,43.84,,125,,PTUA2003
BREME52,PV,BREME,1,52,Presso Municipio,1470225,4997100,95.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
BRENNA11(15),CO,BRENNA,Soc. Pragma Spa   pozzo 3,11(15),Loc. Pozzolo,1514972,5064371,342,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
BRESCIA8,BS,BRESCIA,ASM,8,via Brianze,1596060,5046080,164.9,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
GIUSSAGO8,PV,GIUSSAGO,2,8,via Papa Giov. XXIII ,1511200,5014400,92,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
BRESSO0150320001,,BRESSO,,150320001,,1515240,5041885,115.86,via Don Vercesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
BRUGHERIO0150340005,,BRUGHERIO,,150340005,,1524850,5044860,128.39,v.S.Francesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
BRUGHERIO0150340123,MI - MONZA,BRUGHERIO,CAP,150340123,via Volano FEM,1523293,5042878,139,FEM V. Volano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
BUBBIANO0150350003,MI - Par.,BUBBIANO,,150350003,via No̬,1501099,5019569,104.19,v. No̬,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,PTUA2003
BUCCINASCO0150360002,MI - Par.,BUCCINASCO,,150360002,via  Lario,1508474,5029898,107.39,v. Lario,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,PTUA2003
BUCCINASCO0150360006,,BUCCINASCO,,150360006,,1507897,5028482,106.76,Rovido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
