CODICETOOL,PROV,COMUNE,DENOMINAZIONE,CODICE,LOCALITA,X,Y,Q,NOTE,STRAT.,FALDA,INZ_FLT,FIN_FLT,FLT1_DA,FLT1_A,FLT2_DA,FLT2_A,FLT3_DA,FLT3_A,FLT4_DA,FLT4_A,FLT5_DA,FLT5_A,FLT6_DA,FLT6_A,FLT7_DA,FLT7_A,FLT8_DA,FLT8_A,FLT9_DA,FLT9_A,FLT10_DA,FLT10_A,FLT11_DA,FLT11_A,FLT12_DA,FLT12_A,L.S. ,L.D. ,Q.1,ANNO,PROFONDITA' COLONNA,SETTORE,ORIGINE
MASATE,,MASATE,,,,1537385,5045310,150,v.Bergamasca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MEDE,PV,MEDE,ASM - 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
PESCAROLO,CR,PESCAROLO,4,,Loc. Palestra,1593527.875,5005190.5,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MEDIGLIA0151360003,,MEDIGLIA,,151360003,,1526600,5028740,92.04,v.Stephenson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MEDIGLIA0151390001,MI - CittÃ ,MEDIGLIA,,151390001,Via Stephenson,1526616,5028755,96.36,via Unione,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,PTUA2003
MEZZAGO0151390001,MI - CittÃ ,MEZZAGO,,151390001,,1534749,5052944,177.99,via Unione,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,PTUA2003
MERATEPC097048001,LC,MERATE,,PC097048001,REGONDINO,1531012,5061302,266,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MEZZAGO0151450001,MI,MEZZAGO,,151450001,via Unione,1534736.001,5052942.997,220.39,AMSA via Dionigi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,PTUA2003
MILANO0151450001,MI,MILANO,,151450001,,1518330,5029870,105,AMSA via Dionigi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,PTUA2003
MILANO0151460000,,MILANO,,151460000,,1518330,5029870,105,AMSA via Dionigi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MILANO0151460036,MI - CittÃ ,MILANO,Acqued. Anfossi 16,151460036,,1516872,5033973,115,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MILANO0151460040,MI - CittÃ ,MILANO,Acqued. C. Armi 4,151460040,,1512512,5035801,123.7,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MILANO0151460290,MI - CittÃ ,MILANO,Acqued. C. Feltre 17,151460290,,1518933,5037571,121.5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MILANO0151460413,MI - CittÃ ,MILANO,Acqued. C. Ovidio 10,151460413,,1519041,5033694,109.8,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MILANO0151460477,MI - CittÃ ,MILANO,Acqued. C. Salemi 8,151460477,,1512360,5041410,141.5,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MILANO0151461120,MI - CittÃ ,MILANO,Fogn. PZ 40,151461120,,1513631,5033934,117.74,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MILANO0151461313,MI - CittÃ ,MILANO,Fogn. PZ 43  ,151461313,,1519749,5037968,119.3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MILANO0151461379,MI - CittÃ ,MILANO,Fogn. PZ 54,151461379,,1518799,5029419,103.4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MILANO0151461435,MI - CittÃ ,MILANO,Fogn. PZ 20,151461435,,1509933,5031679,114.2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MILANO0151461534,MI - CittÃ ,MILANO,Fogn.PZ 4,151461534,,1510149,5040199,138.83,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MIRADOLO TERME0D151460000,,MIRADOLO TERME,,0D151460000,,1535650,5001980,71.5,via Baratti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MISANO GERA D'ADDA0161350001,BG,MISANO GERA D'ADDA,Amministrazione Comunale,161350001,via Garibaldi,1548577,5035708,104.1,,X,2,49,70,49,61,64,70,,,,,,,,,,,,,,,,,,,,,2.3,3,40,1974,82,,PTUA2003
MISSAGLIAPI097049101,LC,MISSAGLIA,,PI097049101,BRIVIO,1528143,5059731,274.5,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MONTANASO LOMBARDO0180930002,,MONTANASO LOMBARDO,,180930002,,1535877,5019968,71.24,Comune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MONZA0151490084,MI - MONZA,MONZA,AGAM,151490084,pozzo Battisti 2,1521014,5048849,174,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MONZA0151490142,,MONZA,,151490142,,1521145,5046503,130.47,Garbagnati via Val d'Ossola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MONZA0980400001,,MONZA,,980400001,,1522947,5051402,166.86,Parco-Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MONZAMBANO70,MN,MONZAMBANO,,70,Tosi Giovanni,1631850,5023970,110.2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MORIMONDO0151500013,MI - Par.,MORIMONDO,,151500013,Loc. Fallavecchia,1497393,5018893,103.74,C.na Fallavecchia,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,PTUA2003
MORNAGOPO1210601101T0,VA,MORNAGO,,PO1210601101T0,VINAGO,1480820,5064970,289.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MORNAGOPO1210601504T0,VA,MORNAGO,,PO1210601504T0,Montonate,1481720,5065240,289.7,,X,SUPERF. (acquifero locale),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MORTARA39,PV,MORTARA,Comune - 1,39,via Marsala,1479160,5010480,108,,X,3,154.5,194,154.5,157.5,162,170,177.5,185.5,188,194,,,,,,,,,,,,,,,,,,,,,207,,PTUA2003
MOZZATE1 (2),CO,MOZZATE,Aqua Seprio spa   pozzo 4,1 (2),via LibertÃ ,1495999,5058550,262.6,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MUGGIÃ’0151520030,,MUGGIÃ’,,151520030,,1517175,5045310,135.46,pozzo Impianto Pilota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MULAZZANO0980410001,,MULAZZANO,,980410001,,1531414,5024506,84.74,via Lago Maggiore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
NERVIANO PASUBIO0151540007,,NERVIANO PASUBIO,,151540007,,1497539,5044446,174.58,sopra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
NERVIANO PASUBIO0D151540007,,NERVIANO PASUBIO,,0D151540007,,1497539,5044446,174.58,sotto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
NERVIANO0151540003,,NERVIANO,,151540003,,1498550,5044810,154.6,via Chinotto-serb.II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
NERVIANO0151540064,,NERVIANO,,151540064,,,,,Cantone 64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
NERVIANO0151540065,MI - Par.,NERVIANO,,151540065,Cantone 65,1498320,5043055,166,Cantone 65,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,PTUA2003
NERVIANO0151540066,,NERVIANO,,151540066,,,,,Cantone piez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
NOVA MILANESE0151560024,,NOVA MILANESE,,151560024,,1514995,5048680,138.04,via Grandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
NOVATE MILANESE0151570002,,NOVATE MILANESE,,151570002,,1510867,5042285,121.6,via Manzoni-serb.II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
NOVEDRATE019(3bis),CO,NOVEDRATE,Comune   pozzo 3,019(3bis),Villaggio Veneto - 1,1511046,5060448,282,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
OFFANENGO019062.0005,CR,OFFANENGO,,19062.0005,via Dante,1557924.5,5025552,81,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
OLTRONA DI SAN MAMETTE14(21),CO,OLTRONA DI SAN MAMETTE,Az. Colline Comasche,14(21),MargÃ¨,1497860,5067095,373,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
OPERA0151590004,,OPERA,,151590004,,1516913,5027004,93.62,Mirasole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
ORIO LITTA0980420003,LO,ORIO LITTA,CAP                         ,980420003,via Pio Rossi,1543820,5000952,51.5,via Pio Rossi,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,PTUA2003
OSNAGOPC097061011,LC,OSNAGO,,PC097061011,STATALE -via Statale,1530797,5057843,246,,X, 2/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
OSSONA0151640003,,OSSONA,,151640003,,1492289,5039131,146.23,via 25 Aprile-Marconi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
OSTIGLIA76,MN,OSTIGLIA,,76,via San Romano Casetto 40/A,1667790,4994100,13.60000038,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
OTTOBIANO56,PV,OTTOBIANO,,56,Strada per Valeggio,1487325,4999890,95.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
OZZERO0151650025,MI,OZZERO,,151650025, v.25 Aprile-Faraon,1493904.997,5024331.997,107.99,v.25 Aprile-Faraon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,PTUA2003
PADERNO DUGNANO0151660003,,PADERNO DUGNANO,,151660003,,1512878,5046812,133.78,via S.M.del Carso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
PADERNO DUGNANO0151660007,,PADERNO DUGNANO,,151660007,,1514450,5046495,131.61,Calderara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
PADERNO DUGNANO0151660019,,PADERNO DUGNANO,,151660019,,1513210,5047990,172,v.Galli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
PAGAZZANO0161540946,BG,PAGAZZANO,Arrigoni S.p.a.,161540946,"via Morengo, 31",1552647,5042405,124.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
PALOSCO0161573378,BG,PALOSCO,Comarmi S.n.c.,161573378,"Via Bergamo, 1",1564618,5049592,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
PALOSCO0161573380,BG,PALOSCO,Valtulini Giacomo,161573380,C.na Gritti,1564511,5046783,149.2,,X,1,16.58,48.5,16.58,48.5,,,,,,,,,,,,,,,,,,,,,,,15.2,,,1990,51.5,,PTUA2003
PANTIGLIATE0151670001,MI - CittÃ ,PANTIGLIATE,,151670001,via D'Annunzio,1527170,5032050,97.39,v.D'Annunzio,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,PTUA2003
PAVIA0181100101,,PAVIA,,181100101,,1508425,5007685,85.3,C.na Montebello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
PERO0151700005,,PERO,,151700005,,1506621,5039129,139.87,Bergamina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
PESCAROLO019069.0003,CR,PESCAROLO,3,19069.0003,Loc. Palestra,1593492,5005268.5,45,,X,3,167,192,167,192,,,,,,,,,,,,,,,,,,,,,,,,,,,192.5,,PTUA2003
PESCHIERA BORROMEO0151710024,,PESCHIERA BORROMEO,,151710024,,1522950,5032800,102.2,Depuratore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
PESCHIERA BORROMEO0151710197,MI - CittÃ ,PESCHIERA BORROMEO,,151710197,FEM Mezzate,1522946,5032854,105.61,FEM Mezzate,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,PTUA2003
PIADENA019071.0003,CR,PIADENA,,19071.0003,via Bassa,1607835.25,4998399.5,34,,X,3,158.5,172,158.5,172,,,,,,,,,,,,,,,,,,,,,,,,,,,181.5,,PTUA2003
PIEVE FISSIRAGA0980450001,LO,PIEVE FISSIRAGA,CAP            ,980450001,C.na S.Antonio,1535548,5013741,72.89,C.na S.Antonio,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
PIEVE PORTO MORONE0181140002,,PIEVE PORTO MORONE,,181140002,,1534790,4995405,54.7,via Repubblica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
PIOLTELLO0151750006,,PIOLTELLO,,151750006,,1525252,5038044,109.3,via Pisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
PIOLTELLO0151750289,,PIOLTELLO,,151750289,,1525025,5036125,112.5,FEM Limito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
PIOTELLO0151750008,,PIOTELLO,,151750008,,1525340,5039735,126.16,S.Francesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
PIOTELLO0151750291+C132,,PIOTELLO,,0151750291+C132,,1525340,5039735,126.16,S.Francesco piez.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
PIZZIGHETTONE019076.0006,CR,PIZZIGHETTONE,,19076.0006,via Stadio,1562536.875,5004476.5,46,,X,3,121,129,121,129,,,,,,,,,,,,,,,,,,,,,,,,,,,182,,PTUA2003
POGLIANO MILANESE0151760002,,POGLIANO MILANESE,,151760002,,1499485,5042120,162.5,Garibaldi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
PONTE S. PIETRO0161700003,BG,PONTE S. PIETRO,Amministrazione Comunale,161700003,via Moioli,1545759,5060572,225.2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
PONTE S. PIETRO0161700005,BG,PONTE S. PIETRO,Amministrazione Comunale,161700005,Via Papa Giovanni XXIII,1545242,5060590,239.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
PONTI SUL MINCIO80,MN,PONTI SUL MINCIO,,80,Scala Erbesti Giuseppina,1633160,5027910,64.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
POZZAGLIO019077.0001,CR,POZZAGLIO,,19077.0001,via bongiovanni,1582847,5005656,50,,X,3,181.2,194.9,181.2,194.9,,,,,,,,,,,,,,,,,,,,,,,,,,,201,,PTUA2003
PREGNANA MILANESE0151790005,,PREGNANA MILANESE,,151790005,,1499516,5042096,140.68,via Gallarate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
PREGNANA MILANESE0151790040,,PREGNANA MILANESE,,151790040,,1499516,5042096,143.48,via Gallarate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
PROVAGLIO D'ISEO29,BS,PROVAGLIO D'ISEO,COGEME,29,Pozzo Nuovo,1580523,5053088,208,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
PUMENENGO0161770001,BG,PUMENENGO,Amministrazione Comunale,161770001,"viale Europa, 9",1567778,5036490,110.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
QUINGENTOLE81,MN,QUINGENTOLE,,81,Zona Artigianale Gabbiana,1660760,4988860,13.10000038,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
REDONDESCO84,MN,REDONDESCO,,84,via Bologne (vicino al pensile),1618690,5003540,33,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
RESCALDINA0151810001,MI - Par.,RESCALDINA,,151810001,"via Melzi Comune, 1",1496143.502,5051419.778,180.25,via Melzi-Comune I,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,PTUA2003
REVERE85,MN,REVERE,,85,via Smerrieri 4,1667680,4989800,14.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
RHO0151820106,MI - Par.,RHO,,151820106,Alumix spa via S.Martino,1503760,5039860,138.59,Alumix spa via S.Martino,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,PTUA2003
RIPALTA ARPINA019080.0002,CR,RIPALTA ARPINA,,19080.0002,via Capitani,1557143.875,5016713.5,65,,X,3,168,180,168,180,,,,,,,,,,,,,,,,,,,,,,,,,,,189,,PTUA2003
RIPALTA CREMASCA019081.0002,CR,RIPALTA CREMASCA,,19081.0002,Loc. Zappello,1554044,5020362,76,,X,1,137,149,137,149,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,PTUA2003
ROBBIO33,PV,ROBBIO,,33,via Dentici,1468130,5014730,118.3,,X,3,103,146,103,121,138,146,,,,,,,,,,,,,,,,,,,,,,,,,160,,PTUA2003
TRAVAGLIATO33,BS,TRAVAGLIATO,ASM,33,mulini via Valverde,1584265,5042055,132.5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
ROBECCHETTO CON INDUNO0151830028,,ROBECCHETTO CON INDUNO,,151830028,,1482745,5041027,144.3,via Don Pozzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
ROBECCO SUL NAVIGLIO0151840023,,ROBECCO SUL NAVIGLIO,,151840023,,1488730,5030170,107.78,C.na Visconta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
RODANO0151850001,,RODANO,,151850001,,1528061,5035495,103.16,via S.Pellico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
RODANO0151850004,MI - CittÃ ,RODANO,,151850004,via S.Pellico,1528130,5035520,110.5,via S.Pellico,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,PTUA2003
RODENGO32,BS,RODENGO,SAIANO   ASM,32,Santa di Padergnone,1586957,5049659,172.4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
ROMANENGO019086.0005,CR,ROMANENGO,,19086.0005,via XX Settembre,1561466.875,5025607.5,82,,X,3,128,131,128,131,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,PTUA2003
RONCELLO0151860001,MI - MONZA,RONCELLO,CAP,151860001,S.Ambrogio-serb.,1535790,5049790,192.99,S.Ambrogio-serb.,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,PTUA2003
RONCO BRIANTINO0151870001,MI,RONCO BRIANTINO,,151870001, via Mandelli-serb.,1531390.003,5057041.005,249.31,via Mandelli-serb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
ROSATE0151880001,,ROSATE,,151880001,,1501271,5021782,105.59,p.za Vitt.Veneto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
ROVELLASCA3(5),CO,ROVELLASCA,Cons. Lura Ambiente   pozzo 2,3(5),via Dante,1504185,5057342,247,,X,MISTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
ROVELLO PORRO017(1bis),CO,ROVELLO PORRO,Cons. Lura Ambiente   pozzo 3,017(1bis),via General Porro,1503100,5055090,235,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
ROVERBELLA89,MN,ROVERBELLA,,89,via Giulio Romano 12,1641740,5013610,36.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
ROZZANO0151890001,,ROZZANO,,151890001,,1511429,5024772,103.4,via Matteotti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
SANT'ANGELO LODIGIANO0980500005,LO,SANT'ANGELO LODIGIANO,CAP               ,980500005,fraz.Ranera,1532041,5007048,68.25,fraz.Ranera,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,PTUA2003
SAN GIULIANO0151950015,,SAN GIULIANO,,151950015,,1523855,5025495,93.5,v.Tolstoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
SAN ROCCO AL PORTO0980490001,LO,SAN ROCCO AL PORTO,CAP        ,980490001,via Acquedotto,1554770,4992220,43.59,via Acquedotto,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,PTUA2003
SABBIONETA91,MN,SABBIONETA,,91,PANGUANETA S.P.A.,1617220,4983370,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
SALERANO0981900003,LO,SALERANO,,981900003,,1530130,5015585,80.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
SAMARATEPO1211800500T0,VA,SAMARATE,,PO1211800500T0,via Mezzomonte - C. Costa,1481085,5052910,223.7,,X,SUPERF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
SAN DONATO0151920005,MI-CittÃ ,SAN DONATO,,151920005,via .A.Moro,1520822,5030727,103.19,v.A.Moro,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
SAN BASSANO019088.0003,CR,SAN BASSANO,,19088.0003,p.zza Kennedy,1563511.125,5010176,58,,X,3,130,138,130,138,,,,,,,,,,,,,,,,,,,,,,,,,,,204,,PTUA2003
SAN BENEDETTO PO92,MN,SAN BENEDETTO PO,,92,via Campasso - Portiolo,1646150,4989260,15,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
SAN BENEDETTO PO93,MN,SAN BENEDETTO PO,,93,via Crociare - Portiolo,1646180,4989600,16.29999924,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
SAN COLOMBANO AL LAMBRO0151910009,,SAN COLOMBANO AL LAMBRO,,151910009,,1539965,5001295,55.45,Mostiola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
SAN DANIELE PO019089.0002,CR,SAN DANIELE PO,,19089.0002,via XXV Aprile,1592744.125,4990492.5,35,,X,3,168,180,168,180,,,,,,,,,,,,,,,,,,,,,,,,,,,189,,PTUA2003
SAN GIACOMO DELLE SEGNATE94,MN,SAN GIACOMO DELLE SEGNATE,,94,piazza Martiri di belfiore 77,1660530,4981750,16.60000038,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
SAN GIOVANNI DOSSO96,MN,SAN GIOVANNI DOSSO,,96,Comune,1664380,4982600,14,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
SAN GIOVANNI IN CROCE019090.0001,CR,SAN GIOVANNI IN CROCE,,19090.0001,via Busi,1608405,4992581.5,26,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
SAN GIULIANO0151950007,,SAN GIULIANO,,151950007,,1519358,5026813,95.41,Maroncelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
SAN GIULIANO0151950012,,SAN GIULIANO,,151950012,,1520795,5027435,99,v. Liberazione,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
SAN MARTINO IN STRADA0980480003,,SAN MARTINO IN STRADA,,980480003,,1541478,5013387,70.16,via F.Aporti-serb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
SAN MARTINO97,MN,SAN MARTINO,,97,Belletti Guglielmo,1619010,4994120,26.8,,X,3,154,163,154,163,,,,,,,,,,,,,,,,,,,,,,,,,,1993,210,,PTUA2003
SANNAZZARO60,PV,SANNAZZARO,,60,viale Loreto,1492065,4994625,86,,X,3,94,142,94,100,106,114,130,142,,,,,,,,,,,,,,,,,,,,,,,150,,PTUA2003
SANTA CRISTINA E BISSONE0181390002,,SANTA CRISTINA E BISSONE,,181390002,,1531095,5000710,70,via Milano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
SANTA CRISTINA14,PV,SANTA CRISTINA,1,14,via Milano,1531060,5000720,71,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
SCANDOLARA RAVARA019092.0004,CR,SCANDOLARA RAVARA,,19092.0004,via Chiesa,1602689.75,4989718.5,30,,X,2,68.5,77.5,68.5,77.5,,,,,,,,,,,,,,,,,,,,,,,,,,,81.5,,PTUA2003
SEDRIANO0152040003,MI,SEDRIANO,,152040003, via Fagnani ,1497773.996,5037221,144.23,via Fagnani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,PTUA2003
SEGRATE0152050007,,SEGRATE,,152050007,,1521059,5038729,121.76,Milano 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
SEGRATE0152050140,MI - CittÃ ,SEGRATE,,152050140,idroscalo,1523056,5035094,110.72,Idroscalo,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,PTUA2003
SENAGO0152060004,MI - Par.,SENAGO,,152060004,via Adda,1510325,5047249,169.78,v. Adda,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,PTUA2003
SENNA0980530003,,SENNA,,980530003,,1546645,4999934,47.89,LODIGIANA via Acquedotto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
SERGNANO019094.0004,CR,SERGNANO,,19094.0004,via Vallarsa,1554757,5030594,85,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
SESTO C.PO1212000200T0,VA,SESTO C.,,PO1212000200T0,Abbazia S.P.S. Donato,1471395,5064270,208.22,,X,PROFONDA (valle Ticino),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
SESTO SAN GIOVANNI0152090014,,SESTO SAN GIOVANNI,,152090014,,1517917,5041639,114.37,via Marelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
SESTO SAN GIOVANNI0152090016,MI - MONZA,SESTO SAN GIOVANNI,CAP,152090016,via Tevere,1520400,5044400,121.98,via Tevere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,PTUA2003
SESTO SAN GIOVANNI0152090017,,SESTO SAN GIOVANNI,,152090017,,1517310,5042250,116.29,via Baracca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
SESTO SAN GIOVANNI0152090021,,SESTO SAN GIOVANNI,,152090021,,1519104,5042802,117.19,via Italia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
