,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Unnamed: 18,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1
41,SO,MESE,PO0140430U0001,2008-05-20,269.0,soggiacenza statica,21.58,247.42,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
42,SO,MESE,PO0140430U0001,2008-06-25,269.0,soggiacenza statica,18.83,250.17,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
43,SO,MESE,PO0140430U0001,2008-07-31,269.0,soggiacenza statica,17.53,251.47,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
44,SO,MESE,PO0140430U0001,2008-08-28,269.0,soggiacenza statica,18.23,250.77,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
45,SO,MESE,PO0140430U0001,2008-09-23,269.0,soggiacenza statica,17.5,251.5,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
46,SO,MESE,PO0140430U0001,2008-10-23,269.0,soggiacenza statica,17.4,251.6,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
47,SO,MESE,PO0140430U0001,2008-11-13,269.0,soggiacenza statica,17.85,251.15,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
48,SO,MESE,PO0140430U0001,2008-12-18,269.0,soggiacenza statica,18.15,250.85,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
49,SO,MESE,PO0140430U0001,2009-01-30,269.0,soggiacenza statica,18.2,250.8,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
50,SO,MESE,PO0140430U0001,2009-02-26,269.0,soggiacenza statica,18.75,250.25,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
51,SO,MESE,PO0140430U0001,2009-03-25,269.0,soggiacenza statica,18.8,250.2,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
52,SO,MESE,PO0140430U0001,2009-04-16,269.0,soggiacenza statica,19.68,249.32,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
53,SO,MESE,PO0140430U0001,2009-05-13,269.0,soggiacenza statica,18.86,250.14,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
54,SO,MESE,PO0140430U0001,2009-06-30,269.0,soggiacenza statica,18.32,250.68,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
55,SO,MESE,PO0140430U0001,2009-07-29,269.0,soggiacenza statica,18.9,250.1,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
