,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_PIEZO,3Q_PIEZO,INT_Q_PIEZO,INF,SUP,OUTLIER_PIEZO,1Q_SOGG,3Q_SOGG,Unnamed: 16,Etichette di riga,1Q_PIEZO.1,3Q_PIEZO.1,1Q_SOGG.1,3Q_SOGG.1,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
29,BG,BERGAMO,PO0160240R0296,2013-06-07,232.0,soggiacenza statica,49.51,182.49,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,PO0161150U0002,45.385,47.985,45.97,48.71,47.7625,48.995,47.1675,48.2475,45.61,47.7,44.73,46.5,44.345,45.64,44.2025,45.515,44.7575,45.4875,44.995,46.47,44.88,46.57,44.88,47.35
30,BG,BERGAMO,PO0160240R0296,2013-07-12,232.0,soggiacenza statica,49.67,182.33,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,PO016117NU0001,41.18,44.4975,42.11,45.540000000000006,42.42,46.375,42.59,46.345,41.9425,45.057500000000005,40.3375,43.595,40,42.745000000000005,39.7725,41.769999999999996,40.192499999999995,42.2225,40.9475,42.6975,40.6325,43.0125,40.03,42.65
31,BG,BERGAMO,PO0160240R0296,2013-08-05,232.0,soggiacenza statica,49.89,182.11,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,PO016123NU0001,43.88,47.37,44.58,48.805,46.1975,49.9025,46.697500000000005,50.005,45.795,50.2975,44.9925,48.33,45.5325,46.800000000000004,44.1325,46.2825,44.59,46.235,44.54,46.715,46.08,46.8,45.73,47.1
32,BG,BERGAMO,PO0160240R0296,2013-09-06,232.0,soggiacenza statica,50.76,181.24,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,PO0161290R0001,7.275,7.87,7.2275,8.25,7.4624999999999995,8.6825,7.52,9.265,7.5525,9.2425,7.26,8.56,7.14,7.75,6.8475,7.2,6.925,7.3475,7.24,7.43,7.35,7.47,7.16,7.7
33,BG,BERGAMO,PO0160240R0296,2013-10-09,232.0,soggiacenza statica,51.6,180.4,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,PO0161530R0004,23.752641129032263,26.026885593220356,24.165,26.77,25.095,27.46254032258065,25.3075,27.843031249999996,25.058977003160514,26.969425403225827,24.395,25.458784722222212,23.34949596774196,23.99139784946241,22.866653225806452,23.337580645161328,23.23169444444445,24.005180555555544,23.96096102150537,24.840288978494577,24.380069444444445,25.379735576923082,23.686878360215076,25.28
34,BG,BERGAMO,PO0160240R0296,2013-11-26,232.0,soggiacenza statica,51.11,180.89,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,PO0161570R3380,11.93,13.79,12.2575,14.274999999999999,12.285,14.3525,12.6,14.51,11.907499999999999,13.9575,11.774999999999999,12.835,11.370000000000001,12.205,11.135,12.32,11.280000000000001,12.655000000000001,11.774999999999999,13,11.67,13.120000000000001,11.5,13.1075
35,BG,BERGAMO,PO0160240R0296,2013-12-11,232.0,soggiacenza statica,51.7,180.3,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,PO0161770U0001,10.614999999999998,11.4,10.92,11.355,11.08,11.48,11.225,11.567499999999999,10.4,10.94,9.235,10.1375,8.940000000000001,9.594999999999999,9.05,9.655,9.5275,10.125,10.2,10.585,10.135000000000002,10.7,10.49,10.9975
36,BG,BERGAMO,PO0160240R0296,2014-01-17,232.0,soggiacenza statica,51.05,180.95,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,PO0161830R0003,2.7649999999999997,3.9,2.81071428571429,3.9699999999999998,2.8875,4.030524193548396,3.1,4.0600000000000005,3.3,3.951854838709711,3.13,3.795,3.1875,3.9770264317180724,3.3625,4.1575,3.2267847222222237,3.7150000000000003,3.22,3.71,3.170187499999968,3.4925,2.83,3.6
37,BG,BERGAMO,PO0160240R0296,2014-02-14,232.0,soggiacenza statica,48.78,183.22,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,PO0162120R0001,45.8825,49.815000000000005,46.265,51.010000000000005,51.13,51.86,51.63,51.93,47.3,51.93,50.73,51.48,48.5625,50.0175,47.6,48.5,45.87,47.36,46.05,47.72,47.49,48.43,46.95,48.92
38,BG,BERGAMO,PO0160240R0296,2014-03-20,232.0,soggiacenza statica,52.01,179.99,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,PO0162130R0002,33.35,36.9675,33.7975,37.417500000000004,33.504999999999995,36.94,34.56,36.42,33.9375,36.2825,32.8825,35.475,33.925000000000004,35.2,34.795,36.1025,35.4125,36.8,35.43,37.6725,33.29,36.3,33.44,36.365
39,BG,BERGAMO,PO0160240R0296,2014-04-23,232.0,soggiacenza statica,52.44,179.56,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,PO016219NUP001,13.0725,14.1225,13.46,14.58,14.5125,14.9775,14.6275,15.17,14.407499999999999,14.864999999999998,12.44,13.35,11.6175,12.09,11.1025,11.217500000000001,10.872499999999999,11.06,11.5,11.86,12.85,12.985,13.2025,13.49
40,BG,BERGAMO,PO0160240R0296,2014-05-22,232.0,soggiacenza statica,52.15,179.85,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
41,BG,BERGAMO,PO0160240R0296,2014-06-20,232.0,soggiacenza statica,49.59,182.41,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
42,BG,BERGAMO,PO0160240R0296,2014-07-24,232.0,soggiacenza statica,46.98,185.02,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
43,BG,BERGAMO,PO0160240R0296,2014-08-22,232.0,soggiacenza statica,48.04,183.96,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
44,BG,BERGAMO,PO0160240R0296,2014-09-12,232.0,soggiacenza statica,49.29,182.71,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
45,BG,BERGAMO,PO0160240R0296,2014-10-31,232.0,soggiacenza statica,51.08,180.92,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
46,BG,BERGAMO,PO0160240R0296,2014-11-26,232.0,soggiacenza statica,49.29,182.71,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
47,BG,BERGAMO,PO0160240R0296,2014-12-18,232.0,soggiacenza statica,49.47,182.53,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
48,BG,BERGAMO,PO0160240R0296,2015-01-12,232.0,soggiacenza statica,51.95,180.05,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
49,BG,BERGAMO,PO0160240R0296,2015-02-02,232.0,soggiacenza statica,51.85,180.15,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
50,BG,BERGAMO,PO0160240R0296,2015-03-04,232.0,soggiacenza statica,52.58,179.42,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
51,BG,BERGAMO,PO0160240R0296,2015-04-20,232.0,soggiacenza statica,52.44,179.56,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
52,BG,BERGAMO,PO0160240R0296,2015-05-12,232.0,soggiacenza statica,52.22,179.78,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
53,BG,BERGAMO,PO0160240R0296,2015-06-05,232.0,soggiacenza statica,52.03,179.97,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
54,BG,BERGAMO,PO0160240R0296,2015-07-21,232.0,soggiacenza statica,51.57,180.43,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
