,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1,Unnamed: 26,Unnamed: 27,Etichette di colonna,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
20,BS,CAPRIANO DEL COLLE,PO017037NRP001,2016-10-17,86.237,soggiacenza statica,6.93,79.307,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,PO0200700R0002,0.9574092741935476,1.53,55.519999999999996,56.09259072580645,,PO0200510R0002,8.35,9.02,8.2275,9.0375,8.5075,9.0225,8.455,9.0425,8.315000000000001,8.675,8.45,8.63,8.2325,8.5075,8.3825,8.6,8.56,8.7,8.7,8.76,8.705,8.885,8.675,8.9625
21,BS,CAPRIANO DEL COLLE,PO017037NRP001,2016-11-11,86.237,soggiacenza statica,6.29,79.947,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,Totale complessivo,1.87,7.91,31.208,60.62,,PO020063NU0002,36.270060483871035,37.46645161290324,35.4251339285713,37.817499999999995,36.44078629032257,38.035,36.686201388888875,38.258838821490485,35.84162735849057,38.05,35.383277777777785,37.5375,35.92,37.365,35.97551747311819,37.224999999999994,35.92,37.00108695652173,35.845,37.155,35.93886111111105,37.03709375000003,35.904778225806446,36.988548387096834
22,BS,CAPRIANO DEL COLLE,PO017037NRP001,2016-12-09,86.237,soggiacenza statica,6.31,79.927,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,PO0200700R0002,0.97,1.63,1.03,1.54,1.12,1.710104838709678,1.1,1.71,1.01,1.7,0.91,1.4277166666666656,1,1.4583333333333313,0.95,1.4212096774193586,1.1,1.3640138888888884,0.9149092741935476,1.4953205645161287,1.059218750000002,1.395,0.9,1.37
23,BS,CAPRIANO DEL COLLE,PO017037NRP001,2017-01-05,86.237,soggiacenza statica,6.88,79.357,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,BS,CAPRIANO DEL COLLE,PO017037NRP001,2017-02-27,86.237,soggiacenza statica,6.52,79.717,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,BS,CAPRIANO DEL COLLE,PO017037NRP001,2017-03-22,86.237,soggiacenza statica,7.21,79.027,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,BS,CAPRIANO DEL COLLE,PO017037NRP001,2017-04-11,86.237,soggiacenza statica,7.25,78.987,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,BS,CAPRIANO DEL COLLE,PO017037NRP001,2017-05-17,86.237,soggiacenza statica,6.38,79.857,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,BS,CAPRIANO DEL COLLE,PO017037NRP001,2017-06-29,86.237,soggiacenza statica,7.52,78.717,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,BS,CAPRIANO DEL COLLE,PO017037NRP001,2017-07-26,86.237,soggiacenza statica,7.43,78.807,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,BS,CAPRIANO DEL COLLE,PO017037NRP001,2017-08-11,86.237,soggiacenza statica,7.74,78.497,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,BS,CAPRIANO DEL COLLE,PO017037NRP001,2017-09-28,86.237,soggiacenza statica,8.7,77.537,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,BS,CAPRIANO DEL COLLE,PO017037NRP001,2017-10-20,86.237,soggiacenza statica,6.42,79.817,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,BS,CAPRIANO DEL COLLE,PO017037NRP001,2017-11-15,86.237,soggiacenza statica,6.61,79.627,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,BS,CAPRIANO DEL COLLE,PO017037NRP001,2017-12-15,86.237,soggiacenza statica,6.74,79.497,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,BS,CAPRIANO DEL COLLE,PO017037NRP001,2018-01-15,86.237,soggiacenza statica,6.69,79.547,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,BS,CAPRIANO DEL COLLE,PO017037NRP001,2018-02-20,86.237,soggiacenza statica,6.73,79.507,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,BS,CAPRIANO DEL COLLE,PO017037NRP001,2018-03-15,86.237,soggiacenza statica,6.95,79.287,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,BS,CAPRIANO DEL COLLE,PO017037NRP001,2018-04-24,86.237,soggiacenza statica,6.91,79.327,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,BS,CAPRIANO DEL COLLE,PO017037NRP001,2018-05-15,86.237,soggiacenza statica,6.97,79.267,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,BS,CAPRIANO DEL COLLE,PO017037NRP001,2018-06-15,86.237,soggiacenza statica,6.75,79.487,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,BS,CAPRIANO DEL COLLE,PO017037NRP001,2018-07-27,86.237,soggiacenza statica,6.57,79.667,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,BS,CAPRIANO DEL COLLE,PO017037NRP001,2018-08-15,86.237,soggiacenza statica,6.25,79.987,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,BS,CAPRIANO DEL COLLE,PO017037NRP001,2018-09-25,86.237,soggiacenza statica,4.29,81.947,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,BS,CAPRIANO DEL COLLE,PO017037NRP001,2018-10-31,86.237,soggiacenza statica,4.4,81.837,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,BS,CAPRIANO DEL COLLE,PO017037NRP001,2018-11-15,86.237,soggiacenza statica,4.25,81.987,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,BS,CAPRIANO DEL COLLE,PO017037NRP001,2018-12-15,86.237,soggiacenza statica,4.45,81.787,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,BS,CAPRIANO DEL COLLE,PO017037NRP001,2019-01-15,86.237,soggiacenza statica,4.7,81.537,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,BS,CAPRIANO DEL COLLE,PO017037NRP001,2019-02-15,86.237,soggiacenza statica,4.85,81.387,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,BS,CAPRIANO DEL COLLE,PO017037NRP001,2019-03-15,86.237,soggiacenza statica,5.05,81.187,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,BS,CAPRIANO DEL COLLE,PO017037NRP001,2019-04-15,86.237,soggiacenza statica,5.24,80.997,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,BS,CAPRIANO DEL COLLE,PO017037NRP001,2019-05-13,86.237,soggiacenza statica,5.29,80.947,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,BS,CAPRIANO DEL COLLE,PO017037NRP001,2019-06-14,86.237,soggiacenza statica,5.32,80.917,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,BS,CAPRIANO DEL COLLE,PO017037NRP001,2019-07-14,86.237,soggiacenza statica,4.73,81.507,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,BS,CAPRIANO DEL COLLE,PO017037NRP001,2019-08-14,86.237,soggiacenza statica,4.4,81.837,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,BS,CAPRIANO DEL COLLE,PO017037NRP001,2019-09-14,86.237,soggiacenza statica,4.55,81.687,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,BS,CAPRIANO DEL COLLE,PO017037NRP001,2019-10-14,86.237,soggiacenza statica,4.6,81.637,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,BS,CAPRIANO DEL COLLE,PO017037NRP001,2019-11-14,86.237,soggiacenza statica,4.28,81.957,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,BS,CAPRIANO DEL COLLE,PO017037NRP001,2019-12-14,86.237,soggiacenza statica,3.7,82.537,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,BS,CAPRIANO DEL COLLE,PO017037NRP001,2020-01-14,86.237,soggiacenza statica,3.89,82.347,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,BS,CAPRIANO DEL COLLE,PO017037NRP001,2020-02-14,86.237,soggiacenza statica,4.32,81.917,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,BS,CAPRIANO DEL COLLE,PO017037NRP001,2020-03-14,86.237,soggiacenza statica,4.69,81.547,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,BS,CAPRIANO DEL COLLE,PO017037NRP001,2020-04-14,86.237,soggiacenza statica,4.98,81.257,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,BS,CAPRIANO DEL COLLE,PO017037NRP001,2020-05-14,86.237,soggiacenza statica,4.92,81.317,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,BS,CAPRIANO DEL COLLE,PO017037NRP001,2020-06-14,86.237,soggiacenza statica,5.05,81.187,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,BS,CAPRIANO DEL COLLE,PO017037NRP001,2020-07-15,86.237,soggiacenza statica,4.52,81.717,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,BS,CAPRIANO DEL COLLE,PO017037NRP001,2020-08-15,86.237,soggiacenza statica,4.31,81.927,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,BS,CAPRIANO DEL COLLE,PO017037NRP001,2020-09-15,86.237,soggiacenza statica,4.64,81.597,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,BS,CAPRIANO DEL COLLE,PO017037NRP001,2020-10-15,86.237,soggiacenza statica,4.55,81.687,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,BS,CAPRIANO DEL COLLE,PO017037NRP001,2020-11-15,86.237,soggiacenza statica,4.39,81.847,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
