,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Unnamed: 18,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45
29,MI,ABBIATEGRASSO,PO0150020U0005,2015-02-01,120.75,soggiacenza statica,8.19,112.56,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,PO015173NR0001,3.2699999999999996,4.265,3.22,3.285,3.3449999999999998,3.355,2.3449999999999998,2.855,2.95,2.95,2.9175,2.9325,2.835,3.1399999999999997,3.05,3.31,3.12,3.275,3.2699999999999996,3.29,2.8724999999999996,2.9775,3.1175,3.1525,2.9650000000000003,3.3049999999999997
30,MI,ABBIATEGRASSO,PO0150020U0005,2015-03-01,120.75,soggiacenza statica,9.32,111.43,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,PO015211NUP001,6.4275,6.7425,6.5325,6.7375,6.09,6.55,6.3675,6.5675,5.4350000000000005,6.4399999999999995,5.01,6.045,5.35,6.2700000000000005,4.79,5.835,4.75,5.635,5.2,6.720000000000001,5.77,6.38,6.465,6.71,5.35,6.75
31,MI,ABBIATEGRASSO,PO0150020U0005,2015-04-01,120.75,soggiacenza statica,8.28,112.47,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,PO0152350U0001,2.49,2.92,2.5149999999999997,3.2225,2.7025,3.24,2.7,3.1,2.6100000000000003,3.55,2.215,2.8674999999999997,2.18,3.04,2,2.2925,2.09,2.41,2.255,2.6575,2.17,2.7300000000000004,2.24,2.9025,2.3,2.99
32,MI,ABBIATEGRASSO,PO0150020U0005,2015-05-01,120.75,soggiacenza statica,7.5,113.25,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,PO015247NR0185,1.21,1.45,1.3475000000000001,1.415,1.3125,1.4375,1.275,1.4475,1.1275,1.3525,0.985,1.185,0.9575,1.17,1.115,1.275,1.2525,1.315,1.3425,1.5275,1.185,1.395,1.2925,1.3975,1.17,1.4
33,MI,ABBIATEGRASSO,PO0150020U0005,2015-06-01,120.75,soggiacenza statica,6.75,114.0,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,Totale complessivo,3.3625,6.875,3.32,6.84,3.5,7,3.6825,6.7375,3.8249999999999997,6.75,3.3499999999999996,6.470000000000001,3.1,6.3,3,6.05,3.3,6.32,3.405,6.569999999999999,3.26,6.4925,3.17,6.735,3.3,6.6
34,MI,ABBIATEGRASSO,PO0150020U0005,2015-09-01,120.75,soggiacenza statica,6.12,114.63,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,MI,ABBIATEGRASSO,PO0150020U0005,2015-10-10,120.75,soggiacenza statica,7.06,113.69,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,MI,ABBIATEGRASSO,PO0150020U0005,2015-12-01,120.75,soggiacenza statica,7.55,113.2,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,MI,ABBIATEGRASSO,PO0150020U0005,2016-01-01,120.75,soggiacenza statica,6.03,114.72,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,MI,ABBIATEGRASSO,PO0150020U0005,2016-02-01,120.75,soggiacenza statica,8.31,112.44,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,MI,ABBIATEGRASSO,PO0150020U0005,2016-03-01,120.75,soggiacenza statica,8.38,112.37,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,MI,ABBIATEGRASSO,PO0150020U0005,2016-04-01,120.75,soggiacenza statica,8.34,112.41,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,MI,ABBIATEGRASSO,PO0150020U0005,2016-05-01,120.75,soggiacenza statica,8.4,112.35,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,MI,ABBIATEGRASSO,PO0150020U0005,2016-06-01,120.75,soggiacenza statica,6.1,114.65,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,MI,ABBIATEGRASSO,PO0150020U0005,2016-08-01,120.75,soggiacenza statica,6.26,114.49,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,MI,ABBIATEGRASSO,PO0150020U0005,2016-09-01,120.75,soggiacenza statica,6.4,114.35,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,MI,ABBIATEGRASSO,PO0150020U0005,2016-10-01,120.75,soggiacenza statica,6.6,114.15,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,MI,ABBIATEGRASSO,PO0150020U0005,2016-11-01,120.75,soggiacenza statica,6.5,114.25,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,MI,ABBIATEGRASSO,PO0150020U0005,2016-12-01,120.75,soggiacenza statica,7.82,112.93,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,MI,ABBIATEGRASSO,PO0150020U0005,2017-01-01,120.75,soggiacenza statica,8.17,112.58,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,MI,ABBIATEGRASSO,PO0150020U0005,2017-02-01,120.75,soggiacenza statica,8.37,112.38,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,MI,ABBIATEGRASSO,PO0150020U0005,2017-03-01,120.75,soggiacenza statica,8.31,112.44,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,MI,ABBIATEGRASSO,PO0150020U0005,2017-04-01,120.75,soggiacenza statica,8.28,112.47,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,MI,ABBIATEGRASSO,PO0150020U0005,2017-05-01,120.75,soggiacenza statica,8.35,112.4,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,MI,ABBIATEGRASSO,PO0150020U0005,2017-06-01,120.75,soggiacenza statica,8.34,112.41,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,MI,ABBIATEGRASSO,PO0150020U0005,2017-07-01,120.75,soggiacenza statica,7.21,113.54,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,MI,ABBIATEGRASSO,PO0150020U0005,2017-08-01,120.75,soggiacenza statica,6.15,114.6,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,MI,ABBIATEGRASSO,PO0150020U0005,2017-09-01,120.75,soggiacenza statica,6.51,114.24,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,MI,ABBIATEGRASSO,PO0150020U0005,2017-10-01,120.75,soggiacenza statica,7.25,113.5,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,MI,ABBIATEGRASSO,PO0150020U0005,2017-11-01,120.75,soggiacenza statica,7.47,113.28,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,MI,ABBIATEGRASSO,PO0150020U0005,2017-12-01,120.75,soggiacenza statica,7.97,112.78,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,MI,ABBIATEGRASSO,PO0150020U0005,2018-01-01,120.75,soggiacenza statica,8.28,112.47,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,MI,ABBIATEGRASSO,PO0150020U0005,2018-02-01,120.75,soggiacenza statica,8.55,112.2,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,MI,ABBIATEGRASSO,PO0150020U0005,2018-03-01,120.75,soggiacenza statica,8.47,112.28,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,MI,ABBIATEGRASSO,PO0150020U0005,2018-04-01,120.75,soggiacenza statica,8.59,112.16,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,MI,ABBIATEGRASSO,PO0150020U0005,2018-05-01,120.75,soggiacenza statica,8.69,112.06,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,MI,ABBIATEGRASSO,PO0150020U0014,2020-05-01,121.735,soggiacenza statica,5.221,116.514,4.58,5.32575,116.40925,117.155,0.745750000000001,115.290625,118.27362500000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,MI,ABBIATEGRASSO,PO0150020U0014,2020-06-01,121.735,soggiacenza statica,4.58,117.155,4.58,5.32575,116.40925,117.155,0.745750000000001,115.290625,118.27362500000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,MI,ABBIATEGRASSO,PO0150020U0014,2020-07-01,121.735,soggiacenza statica,4.018,117.717,4.58,5.32575,116.40925,117.155,0.745750000000001,115.290625,118.27362500000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,MI,ABBIATEGRASSO,PO0150020U0014,2020-08-01,121.735,soggiacenza statica,4.66,117.075,4.58,5.32575,116.40925,117.155,0.745750000000001,115.290625,118.27362500000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,MI,ABBIATEGRASSO,PO0150020U0014,2020-09-01,121.735,soggiacenza statica,4.58,117.155,4.58,5.32575,116.40925,117.155,0.745750000000001,115.290625,118.27362500000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,MI,ABBIATEGRASSO,PO0150020U0014,2020-10-01,121.735,soggiacenza statica,5.15,116.585,4.58,5.32575,116.40925,117.155,0.745750000000001,115.290625,118.27362500000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
