,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1,Unnamed: 22,Unnamed: 23,Quartili soggiacenza,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47
20,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2010-09-15,32.636,soggiacenza statica,3.9,28.736,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,PO0200480U0084,3.1,4.7,27.908,29.508,,PO020030NU0003,3.4,4.875,4.425000000000001,6.4,3.495,5.05,3.49,4.1,3.6,4.5,4.105,5.8,4.5600000000000005,5.48,4.51,5.525,4.539999999999999,5.425,3.4375,4.4,3.26,5.5,3.3125,4.325
21,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2010-10-15,32.636,soggiacenza statica,3.4,29.236,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,PO0200680R0001,0.965,1.39,15.31,15.735,,PO0200330R0003,2.77,3.115,2.8,3.28,2.95,3.35,2.7,3.37,2.91,3.8,3.085,4.0375,2.9899999999999998,4.1625,3.3,5.2225,2.88,3.475,2.6975000000000002,2.9850000000000003,2.8,4.87,2.9575,5.3325
22,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2010-12-15,32.636,soggiacenza statica,3.0,29.636,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,Totale complessivo,2.359999999999997,5.9175,25.975,49.859584408602146,,PO0200480U0084,3.05,4.85,3,4.0625,3.1,4.375,3.05,4.449999999999999,3,4.5,3,4.7075000000000005,3.075,4.6775,3.2,4.4,3.2750000000000004,4.65,3.2925,4.625,3.0324999999999998,4.7,3.0075,4.625
23,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2011-02-15,32.636,soggiacenza statica,2.3,30.336,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,,,,,,,PO0200680R0001,0.815,1.055,0.97,1.29,0.5125000000000001,1.065,0.8,1.19,0.95,1.1375000000000002,0.91,1.38,2.08,2.3,1.415,2.2649999999999997,1.25,1.4674999999999998,1.2750000000000001,1.8800000000000001,0.9750000000000001,1.2149999999999999,0.94,1.29
24,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2011-03-15,32.636,soggiacenza statica,2.1,30.536,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2011-05-15,32.636,soggiacenza statica,3.3,29.336,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2011-07-13,32.636,soggiacenza statica,3.9,28.736,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2011-08-15,32.636,soggiacenza statica,3.5,29.136,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2011-09-15,32.636,soggiacenza statica,4.4,28.236,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2011-10-15,32.636,soggiacenza statica,3.9,28.736,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2012-01-15,32.636,soggiacenza statica,3.4,29.236,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2012-05-15,32.636,soggiacenza statica,3.5,29.136,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2012-06-15,32.636,soggiacenza statica,4.9,27.736,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2012-11-01,32.636,soggiacenza statica,3.5,29.136,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2012-12-01,32.636,soggiacenza statica,2.9,29.736,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2013-02-01,32.636,soggiacenza statica,2.7,29.936,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2013-03-01,32.636,soggiacenza statica,2.6,30.036,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2013-09-01,32.636,soggiacenza statica,3.8,28.836,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2013-11-01,32.636,soggiacenza statica,3.15,29.486,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2014-01-01,32.636,soggiacenza statica,4.4,28.236,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2014-02-01,32.636,soggiacenza statica,2.35,30.286,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2014-03-01,32.636,soggiacenza statica,2.3,30.336,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2014-05-01,32.636,soggiacenza statica,2.65,29.986,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2014-06-01,32.636,soggiacenza statica,3.35,29.286,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2014-07-01,32.636,soggiacenza statica,3.5,29.136,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2014-08-02,32.636,soggiacenza statica,3.35,29.286,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2015-07-01,32.636,soggiacenza statica,4.3,28.336,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2018-04-01,32.636,soggiacenza statica,3.2,29.436,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2020-09-01,32.636,soggiacenza statica,3.8,28.836,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2020-10-01,32.636,soggiacenza statica,3.8,28.836,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
