,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
26,PV,ALBONESE,PO018003NR0009,2018-03-31,113.49,soggiacenza statica,1.7,111.79,1.01,2.115,111.375,112.48,1.105000000000004,109.7175,114.13750000000002,,,,,,PO0180690U0002,4.8,5.2,5.14,5.65,5.5,5.9,5.96,6.2,6.140000000000001,6.63,6.125,6.6,5.3100000000000005,5.9,3.9,5.35,3.555,4.175,3.69,4.1,3.9,4.4,4.32,4.675,4.1775,5.97
27,PV,ALBONESE,PO018003NR0009,2018-04-30,113.49,soggiacenza statica,1.2,112.29,1.01,2.115,111.375,112.48,1.105000000000004,109.7175,114.13750000000002,,,,,,PO0180880U0001,4.24,4.574999999999999,4.4575,4.8774999999999995,4.64,5.14,4.65,5.195,4.425,4.859999999999999,2.54,4.13,1.8,2.6,1.74,1.85,2.4,2.62,3.06,3.35,3.5075000000000003,3.8274999999999997,3.88,4.1,2.635,4.585
28,PV,ALBONESE,PO018003NR0009,2018-05-14,113.49,soggiacenza statica,1.9,111.59,1.01,2.115,111.375,112.48,1.105000000000004,109.7175,114.13750000000002,,,,,,PO018146NRP001,5.484999999999999,5.705,5.8175,5.9375,5.66,6.01,5.8149999999999995,5.97,5.48,5.7,4.72,4.97,3.2350000000000003,3.45,3,3.03,4.02,4.08,4.575,4.75,4.97,5.22,5.13,5.3,4.07,5.7
29,PV,ALBONESE,PO018003NR0009,2018-06-30,113.49,soggiacenza statica,0.56,112.93,1.01,2.115,111.375,112.48,1.105000000000004,109.7175,114.13750000000002,,,,,,PO018147NUP001,6.14,6.47,6.64,6.702500000000001,6.66,6.78,6.6899999999999995,6.77,6.52,6.78,6.09,6.3,5.66,5.7475000000000005,5.29,5.36,5.43,5.54,5.76,5.86,5.86,6.18,6.1,6.16,5.73,6.55
30,PV,ALBONESE,PO018003NR0009,2018-07-25,113.49,soggiacenza statica,0.8,112.69,1.01,2.115,111.375,112.48,1.105000000000004,109.7175,114.13750000000002,,,,,,PO0181770U0020,4.9825,5.3925,5.234999999999999,5.535,5.29,5.57,5.4,5.7625,5.2875,5.925000000000001,4.66,5.1,4.0725,4.5375,3.9,4.130000000000001,4.04,4.2275,4.4,4.76,4.795,5.005,4.905,5.1899999999999995,4.5024999999999995,5.3725
31,PV,ALBONESE,PO018003NR0009,2018-08-31,113.49,soggiacenza statica,0.62,112.87,1.01,2.115,111.375,112.48,1.105000000000004,109.7175,114.13750000000002,,,,,,Totale complessivo,4.2,5.875,4.6,7.2,4.64,6.75,4.5600000000000005,6.665,4.592499999999999,6.6975,3.6775,6.2924999999999995,2.7649999999999997,5.735,2.0575,5.3575,2.93,5.08,3.5,5.77,3.8275,6.1075,3.9775,5.29,3.795,6.055
32,PV,ALBONESE,PO018003NR0009,2018-09-30,113.49,soggiacenza statica,1.62,111.87,1.01,2.115,111.375,112.48,1.105000000000004,109.7175,114.13750000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PV,ALBONESE,PO018003NR0009,2018-10-23,113.49,soggiacenza statica,2.21,111.28,1.01,2.115,111.375,112.48,1.105000000000004,109.7175,114.13750000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PV,ALBONESE,PO018003NR0009,2018-11-30,113.49,soggiacenza statica,1.64,111.85,1.01,2.115,111.375,112.48,1.105000000000004,109.7175,114.13750000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PV,ALBONESE,PO018003NR0009,2018-12-31,113.49,soggiacenza statica,2.0,111.49,1.01,2.115,111.375,112.48,1.105000000000004,109.7175,114.13750000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
