,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Unnamed: 18,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
30,PV,CANDIA LOMELLINA,PO0180270U0001,2016-05-30,103.848,soggiacenza statica,3.68,100.168,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PV,CANDIA LOMELLINA,PO0180270U0001,2016-06-15,103.848,soggiacenza statica,3.8,100.048,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PV,CANDIA LOMELLINA,PO0180270U0001,2016-07-15,103.848,soggiacenza statica,3.42,100.428,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PV,CANDIA LOMELLINA,PO0180270U0001,2016-08-16,103.848,soggiacenza statica,2.7,101.148,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PV,CANDIA LOMELLINA,PO0180270U0001,2016-09-15,103.848,soggiacenza statica,2.15,101.698,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PV,CANDIA LOMELLINA,PO0180270U0001,2016-10-16,103.848,soggiacenza statica,3.0,100.848,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PV,CANDIA LOMELLINA,PO0180270U0001,2016-11-21,103.848,soggiacenza statica,3.62,100.228,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PV,CANDIA LOMELLINA,PO0180270U0001,2016-12-16,103.848,soggiacenza statica,3.45,100.398,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PV,CANDIA LOMELLINA,PO0180270U0001,2017-05-24,103.848,soggiacenza statica,3.61,100.238,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PV,CANDIA LOMELLINA,PO0180270U0001,2017-06-12,103.848,soggiacenza statica,3.0,100.848,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PV,CANDIA LOMELLINA,PO0180270U0001,2017-07-13,103.848,soggiacenza statica,1.55,102.298,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PV,CANDIA LOMELLINA,PO0180270U0001,2017-08-09,103.848,soggiacenza statica,1.45,102.398,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PV,CANDIA LOMELLINA,PO0180270U0001,2017-09-13,103.848,soggiacenza statica,1.86,101.988,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PV,CANDIA LOMELLINA,PO0180270U0001,2017-10-24,103.848,soggiacenza statica,2.0,101.848,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PV,CANDIA LOMELLINA,PO0180270U0001,2017-11-23,103.848,soggiacenza statica,3.6,100.248,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PV,CANDIA LOMELLINA,PO0180270U0001,2017-12-15,103.848,soggiacenza statica,3.8,100.048,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PV,CANDIA LOMELLINA,PO0180270U0001,2018-02-16,103.848,soggiacenza statica,3.9,99.948,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PV,CANDIA LOMELLINA,PO0180270U0001,2018-03-14,103.848,soggiacenza statica,4.05,99.798,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PV,CANDIA LOMELLINA,PO0180270U0001,2018-04-30,103.848,soggiacenza statica,3.85,99.998,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
