,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Unnamed: 18,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
26,PV,BELGIOIOSO,PO0180130U0005,2011-04-12,74.964,soggiacenza statica,11.75,63.214,11.1,11.75,63.214,63.864,0.6499999999999986,62.239000000000004,64.839,,,,,PO018176NUP001,4.325,4.625,4.575,4.8,4.45,4.7,4.33,4.595,4.0125,4.2375,3.8,3.92,3.67,3.7375,3.72,3.8,4.12,4.2475000000000005,4.3625,4.44,4.4,4.425000000000001,4.25,4.42
27,PV,BELGIOIOSO,PO0180130U0005,2011-05-19,74.964,soggiacenza statica,11.4,63.564,11.1,11.75,63.214,63.864,0.6499999999999986,62.239000000000004,64.839,,,,,PO018180NUP001,4.74,5.115,5.21,5.41,5.4,5.525,5.4625,5.4875,5.45,5.65,5.52,5.52,5.325,5.55,5.15,5.35,5.325,5.5649999999999995,5.385,5.625,5.15,5.27,5.172499999999999,5.3175
28,PV,BELGIOIOSO,PO0180130U0005,2011-06-22,74.964,soggiacenza statica,11.1,63.864,11.1,11.75,63.214,63.864,0.6499999999999986,62.239000000000004,64.839,,,,,PO098008NR0025,4.584969425735553,5.160260752688172,4.88,5.25,4.812350806451612,5.42070564516129,4.95,9.05,4.84,7.725376344086028,4.765000000000001,6.234416666666672,4.7833461538461535,5.239104838709679,4.567260752688171,5.009172043010752,4.4131291666666685,4.568966666666666,4.320172043010754,4.81,4.587970833333333,5.452943055555554,4.164252688172042,4.771422043010752
29,PV,BELGIOIOSO,PO0180130U0005,2011-07-19,74.964,soggiacenza statica,11.8,63.164,11.1,11.75,63.214,63.864,0.6499999999999986,62.239000000000004,64.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PV,BELGIOIOSO,PO0180130U0005,2011-08-29,74.964,soggiacenza statica,10.9,64.064,11.1,11.75,63.214,63.864,0.6499999999999986,62.239000000000004,64.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PV,BELGIOIOSO,PO0180130U0005,2011-09-27,74.964,soggiacenza statica,11.4,63.564,11.1,11.75,63.214,63.864,0.6499999999999986,62.239000000000004,64.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PV,BELGIOIOSO,PO0180130U0005,2011-10-26,74.964,soggiacenza statica,11.05,63.914,11.1,11.75,63.214,63.864,0.6499999999999986,62.239000000000004,64.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PV,BELGIOIOSO,PO0180130U0005,2011-11-29,74.964,soggiacenza statica,11.5,63.464,11.1,11.75,63.214,63.864,0.6499999999999986,62.239000000000004,64.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PV,BELGIOIOSO,PO0180130U0005,2011-12-13,74.964,soggiacenza statica,11.4,63.564,11.1,11.75,63.214,63.864,0.6499999999999986,62.239000000000004,64.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PV,BELGIOIOSO,PO0180130U0005,2012-01-23,74.964,soggiacenza statica,11.6,63.364,11.1,11.75,63.214,63.864,0.6499999999999986,62.239000000000004,64.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PV,BELGIOIOSO,PO0180130U0005,2012-02-16,74.964,soggiacenza statica,11.9,63.064,11.1,11.75,63.214,63.864,0.6499999999999986,62.239000000000004,64.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PV,BELGIOIOSO,PO0180130U0005,2012-03-09,74.964,soggiacenza statica,12.1,62.864,11.1,11.75,63.214,63.864,0.6499999999999986,62.239000000000004,64.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PV,BELGIOIOSO,PO0180130U0005,2012-04-12,74.964,soggiacenza statica,12.1,62.864,11.1,11.75,63.214,63.864,0.6499999999999986,62.239000000000004,64.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
