,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1
34,SO,ARDENNO,PO0140050R0003,2009-03-25,272.71,soggiacenza statica,13.11,259.6,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
35,SO,ARDENNO,PO0140050R0003,2009-04-16,272.71,soggiacenza statica,12.99,259.72,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
36,SO,ARDENNO,PO0140050R0003,2009-05-19,272.71,soggiacenza statica,12.71,260.0,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
37,SO,ARDENNO,PO0140050R0003,2009-06-30,272.71,soggiacenza statica,12.73,259.98,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
38,SO,ARDENNO,PO0140050R0003,2009-07-28,272.71,soggiacenza statica,12.76,259.95,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
39,SO,ARDENNO,PO0140050R0003,2009-08-26,272.71,soggiacenza statica,12.86,259.85,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
40,SO,ARDENNO,PO0140050R0003,2009-09-30,272.71,soggiacenza statica,13.16,259.55,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
41,SO,ARDENNO,PO0140050R0003,2009-10-30,272.71,soggiacenza statica,13.51,259.2,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
42,SO,ARDENNO,PO0140050R0003,2009-11-18,272.71,soggiacenza statica,13.26,259.45,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
43,SO,ARDENNO,PO0140050R0003,2009-12-17,272.71,soggiacenza statica,13.12,259.59,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
44,SO,ARDENNO,PO0140050R0003,2010-01-22,272.71,soggiacenza statica,13.12,259.59,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
45,SO,ARDENNO,PO0140050R0003,2010-02-22,272.71,soggiacenza statica,13.13,259.58,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
46,SO,ARDENNO,PO0140050R0003,2010-03-31,272.71,soggiacenza statica,13.15,259.56,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
47,SO,ARDENNO,PO0140050R0003,2010-04-28,272.71,soggiacenza statica,13.06,259.65,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
48,SO,ARDENNO,PO0140050R0003,2010-05-26,272.71,soggiacenza statica,12.53,260.18,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
49,SO,ARDENNO,PO0140050R0003,2010-06-30,272.71,soggiacenza statica,12.52,260.19,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
50,SO,ARDENNO,PO0140050R0003,2010-07-26,272.71,soggiacenza statica,12.7,260.01,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
51,SO,ARDENNO,PO0140050R0003,2010-08-26,272.71,soggiacenza statica,13.87,258.84,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
52,SO,ARDENNO,PO0140050R0003,2010-09-22,272.71,soggiacenza statica,12.87,259.84,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
53,SO,ARDENNO,PO0140050R0003,2010-10-27,272.71,soggiacenza statica,13.0,259.71,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
54,SO,ARDENNO,PO0140050R0003,2010-11-18,272.71,soggiacenza statica,12.35,260.36,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
55,SO,ARDENNO,PO0140050R0003,2010-12-23,272.71,soggiacenza statica,12.8,259.91,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
56,SO,ARDENNO,PO0140050R0003,2011-01-24,272.71,soggiacenza statica,12.91,259.8,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
57,SO,ARDENNO,PO0140050R0003,2011-02-22,272.71,soggiacenza statica,13.08,259.63,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
58,SO,ARDENNO,PO0140050R0003,2011-03-22,272.71,soggiacenza statica,13.1,259.61,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
59,SO,ARDENNO,PO0140050R0003,2011-04-26,272.71,soggiacenza statica,13.03,259.68,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
60,SO,ARDENNO,PO0140050R0003,2011-05-26,272.71,soggiacenza statica,13.07,259.64,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
61,SO,ARDENNO,PO0140050R0003,2011-06-30,272.71,soggiacenza statica,12.85,259.86,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
62,SO,ARDENNO,PO0140050R0003,2011-07-21,272.71,soggiacenza statica,12.68,260.03,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
63,SO,ARDENNO,PO0140050R0003,2011-08-24,272.71,soggiacenza statica,12.91,259.8,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
64,SO,ARDENNO,PO0140050R0003,2011-09-22,272.71,soggiacenza statica,12.43,260.28,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
65,SO,ARDENNO,PO0140050R0003,2011-10-25,272.71,soggiacenza statica,11.55,261.16,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,OUTLIER,,,,,,,,,,,,,
66,SO,ARDENNO,PO0140050R0003,2011-11-07,272.71,soggiacenza statica,12.64,260.07,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
67,SO,ARDENNO,PO0140050R0003,2011-12-20,272.71,soggiacenza statica,13.0,259.71,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
68,SO,ARDENNO,PO0140050R0003,2012-01-12,272.71,soggiacenza statica,13.15,259.56,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
69,SO,ARDENNO,PO0140050R0003,2012-02-07,272.71,soggiacenza statica,13.25,259.46,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
70,SO,ARDENNO,PO0140050R0003,2012-03-12,272.71,soggiacenza statica,13.2,259.51,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
71,SO,ARDENNO,PO0140050R0003,2012-04-11,272.71,soggiacenza statica,13.26,259.45,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
72,SO,ARDENNO,PO0140050R0003,2012-05-02,272.71,soggiacenza statica,12.9,259.81,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
73,SO,ARDENNO,PO0140050R0003,2012-06-13,272.71,soggiacenza statica,12.52,260.19,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
74,SO,ARDENNO,PO0140050R0003,2012-07-05,272.71,soggiacenza statica,12.78,259.93,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
75,SO,ARDENNO,PO0140050R0003,2012-08-02,272.71,soggiacenza statica,12.8,259.91,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
76,SO,ARDENNO,PO0140050R0003,2012-09-06,272.71,soggiacenza statica,12.95,259.76,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
77,SO,ARDENNO,PO0140050R0003,2012-10-11,272.71,soggiacenza statica,13.55,259.16,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
78,SO,ARDENNO,PO0140050R0003,2012-11-13,272.71,soggiacenza statica,12.2,260.51,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
79,SO,ARDENNO,PO0140050R0003,2012-12-18,272.71,soggiacenza statica,12.81,259.9,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
80,SO,ARDENNO,PO0140050R0003,2013-01-28,272.71,soggiacenza statica,13.02,259.69,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
81,SO,ARDENNO,PO0140050R0003,2013-02-26,272.71,soggiacenza statica,13.11,259.6,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
82,SO,ARDENNO,PO0140050R0003,2013-03-18,272.71,soggiacenza statica,13.18,259.53,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
83,SO,ARDENNO,PO0140050R0003,2013-04-03,272.71,soggiacenza statica,13.1,259.61,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
84,SO,ARDENNO,PO0140050R0003,2013-05-21,272.71,soggiacenza statica,11.83,260.88,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
85,SO,ARDENNO,PO0140050R0003,2013-06-24,272.71,soggiacenza statica,12.12,260.59,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
86,SO,ARDENNO,PO0140050R0003,2013-07-22,272.71,soggiacenza statica,12.5,260.21,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
87,SO,ARDENNO,PO0140050R0003,2013-08-26,272.71,soggiacenza statica,12.5,260.21,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
88,SO,ARDENNO,PO0140050R0003,2013-09-23,272.71,soggiacenza statica,12.77,259.94,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
89,SO,ARDENNO,PO0140050R0003,2013-10-31,272.71,soggiacenza statica,12.4,260.31,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
90,SO,ARDENNO,PO0140050R0003,2013-11-26,272.71,soggiacenza statica,12.6,260.11,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
91,SO,ARDENNO,PO0140050R0003,2013-12-16,272.71,soggiacenza statica,12.85,259.86,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
92,SO,ARDENNO,PO0140050R0003,2014-01-13,272.71,soggiacenza statica,12.47,260.24,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
93,SO,ARDENNO,PO0140050R0003,2014-02-03,272.71,soggiacenza statica,12.3,260.41,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
94,SO,ARDENNO,PO0140050R0003,2014-03-10,272.71,soggiacenza statica,12.43,260.28,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
95,SO,ARDENNO,PO0140050R0003,2014-04-01,272.71,soggiacenza statica,12.48,260.23,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
96,SO,ARDENNO,PO0140050R0003,2014-05-06,272.71,soggiacenza statica,12.63,260.08,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
97,SO,ARDENNO,PO0140050R0003,2014-06-09,272.71,soggiacenza statica,12.3,260.41,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
98,SO,ARDENNO,PO0140050R0003,2014-07-29,272.71,soggiacenza statica,12.37,260.34,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
99,SO,ARDENNO,PO0140050R0003,2014-08-25,272.71,soggiacenza statica,12.31,260.4,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
100,SO,ARDENNO,PO0140050R0003,2014-09-11,272.71,soggiacenza statica,12.64,260.07,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
101,SO,ARDENNO,PO0140050R0003,2014-10-27,272.71,soggiacenza statica,12.6,260.11,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
102,SO,ARDENNO,PO0140050R0003,2014-11-18,272.71,soggiacenza statica,12.08,260.63,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
103,SO,ARDENNO,PO0140050R0003,2014-12-04,272.71,soggiacenza statica,12.65,260.06,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
104,SO,ARDENNO,PO0140050R0003,2015-02-17,272.71,soggiacenza statica,12.78,259.93,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
105,SO,ARDENNO,PO0140050R0003,2015-03-13,272.71,soggiacenza statica,12.78,259.93,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
106,SO,ARDENNO,PO0140050R0003,2015-04-24,272.71,soggiacenza statica,12.82,259.89,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
107,SO,ARDENNO,PO0140050R0003,2015-05-05,272.71,soggiacenza statica,12.7,260.01,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
108,SO,ARDENNO,PO0140050R0003,2015-06-29,272.71,soggiacenza statica,12.3,260.41,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
109,SO,ARDENNO,PO0140050R0003,2015-07-27,272.71,soggiacenza statica,12.59,260.12,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
110,SO,ARDENNO,PO0140050R0003,2015-08-24,272.71,soggiacenza statica,12.58,260.13,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
111,SO,ARDENNO,PO0140050R0003,2015-09-15,272.71,soggiacenza statica,12.48,260.23,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
112,SO,ARDENNO,PO0140050R0003,2015-10-26,272.71,soggiacenza statica,12.43,260.28,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
113,SO,ARDENNO,PO0140050R0003,2015-11-18,272.71,soggiacenza statica,12.63,260.08,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
114,SO,ARDENNO,PO0140050R0003,2015-12-01,272.71,soggiacenza statica,12.85,259.86,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
115,SO,ARDENNO,PO0140050R0003,2016-01-20,272.71,soggiacenza statica,12.9,259.81,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
116,SO,ARDENNO,PO0140050R0003,2016-02-15,272.71,soggiacenza statica,12.8,259.91,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
