,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_PIEZO,3Q_PIEZO,INT_Q_PIEZO,INF,SUP,OUTLIER_PIEZO,1Q_SOGG,3Q_SOGG,Unnamed: 16,Unnamed: 17,Etichette di riga,1Q_PIEZO.1,3Q_PIEZO.1,1Q_SOGG.1,3Q_SOGG.1,Unnamed: 23,Unnamed: 24,Etichette di colonna,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
21,MI,ABBIATEGRASSO,PO015002NUP001,2018-05-01,116.703,soggiacenza statica,2.45,114.253,113.143,114.423,1.2800000000000011,111.223,115.703, ,2.28,3.56,,,PO0160110U0005,147.995,150.66,5.6049999999999995,8.27,,PO0152260U0002,,,5.234999999999999,6.0600000000000005,5.1725,5.3575,5.3075,5.3425,5.155,5.41,4.885,5.215,5.38,5.38,5.145,5.235,4.984999999999999,5.015000000000001,5.2875,5.5425,5.385,5.615,5.35,5.65
22,MI,ABBIATEGRASSO,PO015002NUP001,2018-06-01,116.703,soggiacenza statica,3.32,113.383,113.143,114.423,1.2800000000000011,111.223,115.703, ,2.28,3.56,,,PO0161010R0004,102.655,104.00999999999999,4.65,6.005,,PO0152360U0003,4.18,4.42,4.1775,4.455,4.31,4.59,4.2,4.66,4.0525,4.6925,3.605,4.38,4.16,4.4350000000000005,3.3375000000000004,4.635,3.7,4.4575000000000005,3.91,4.585,3.87,4.67,4.0825,4.3675
23,MI,ABBIATEGRASSO,PO015002NUP001,2018-07-01,116.703,soggiacenza statica,3.15,113.553,113.143,114.423,1.2800000000000011,111.223,115.703, ,2.28,3.56,,,PO0161350U0001,101.53399999999999,102.26400000000001,2.5149999999999997,3.245,,PO0160110U0005,6.0325,7.9399999999999995,6.795,8.532499999999999,6.855,9.625,8.38,10.13,7.85,9.64,6.905,8.065,5.62,6.27,4.54,5.53,5.2,5.45,5.4,6.25,6.095,7.13,5.93,7.36
24,MI,ABBIATEGRASSO,PO015002NUP001,2018-08-01,116.703,soggiacenza statica,2.8,113.903,113.143,114.423,1.2800000000000011,111.223,115.703, ,2.28,3.56,,,PO0162090R1633,158.1385,161.606,68.775,72.24249999999999,,PO0161010R0004,4.9,5.93,5.3,6.19,5.8725000000000005,6.41,6.1725,6.2175,5.6975,5.984999999999999,4.65,5.15,4.1525,5.0625,3.9999999999999996,4.140000000000001,4.425,4.5225,4.94,5.42,5.85,5.85,5.27,5.88
25,MI,ABBIATEGRASSO,PO015002NUP001,2018-09-01,116.703,soggiacenza statica,3.27,113.433,113.143,114.423,1.2800000000000011,111.223,115.703, ,2.28,3.56,,,PO0170520UC573,116.81,121.67,25.04,29.9,,PO0161350U0001,3.01,3.425,3.075,3.41,3.19,3.63,3.35,3.91,2.7775,3.13,2.3,2.78,2.1350000000000002,2.705,2.03,2.57,2.27,2.55,2.7,2.89999999999999,2.79,3.145,2.8,3.245
26,MI,ABBIATEGRASSO,PO015002NUP001,2018-10-01,116.703,soggiacenza statica,2.85,113.853,113.143,114.423,1.2800000000000011,111.223,115.703, ,2.28,3.56,,,PO0170720U0253,92.89,99.8,5.1,12.01,,PO0162090R1633,68.48,72.39,68.92500000000001,72.6125,69.59,73.2,69.4375,72.89999999999999,69.4075,72.4925,69.13,72.01,67.955,70.595,66.785,70.315,67.305,70.035,68.39750000000001,71.15,69.16,72.3,68.9075,71.41499999999999
27,MI,ABBIATEGRASSO,PO015002NUP001,2018-11-01,116.703,soggiacenza statica,2.99,113.713,113.143,114.423,1.2800000000000011,111.223,115.703, ,2.28,3.56,,,PO0170910UC622,105.91499999999999,106.61500000000001,3.065,3.7649999999999997,,PO0170520UC573,27.1,27.1,,,37.82,37.82,,,,,28.74,28.74,,,,,24.32,25.76,23.6,23.6,31.06,31.06,,
28,MI,ABBIATEGRASSO,PO015002NUP001,2018-12-01,116.703,soggiacenza statica,3.56,113.143,113.143,114.423,1.2800000000000011,111.223,115.703, ,2.28,3.56,,,PO0171460UC028,87.6675,88.53750000000001,4.5525,5.4225,,PO0170720U0253,5.1,5.1,,,,,17.01,17.01,12.34,12.34,12.01,12.01,11.7,11.7,4.155,9.225000000000001,4.21,9.33,4.21,9.309999999999999,11.64,11.64,12.01,12.01
29,BG,ARCENE,PO0160110U0005,2015-03-20,156.265,soggiacenza statica,6.23,150.035,147.995,150.66,2.664999999999992,143.9975,153.325, ,5.6049999999999995,8.27,,,PO017162NUP001,96.848,97.378,2.96,3.49,,PO0170910UC622,3.3649999999999998,3.635,3.1225,3.7775,3.055,3.7824999999999998,3.5300000000000002,3.745,3.4825,4.03,3.0625,4.135,3.3049999999999997,3.9525,2.9074999999999998,3.8775,2.715,3.25,2.615,3.125,3.1525,3.4375,3.21,3.55
30,BG,ARCENE,PO0160110U0005,2015-04-29,156.265,soggiacenza statica,8.12,148.145,147.995,150.66,2.664999999999992,143.9975,153.325, ,5.6049999999999995,8.27,,,PO017166NUP001,119.17099999999999,121.691,78.42,80.94,,PO0171460UC028,4.635,4.9175,4.68,5.09,4.58,4.73,4.72,5.04,4.585,5.0925,5.6,7.115,4.74,7.3225,5.33,6.5675,4.505,5.85,4.51,5.01,4.234999999999999,4.525,4.1674999999999995,4.765000000000001
