,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_PIEZO,3Q_PIEZO,INT_Q_PIEZO,INF,SUP,OUTLIER_PIEZO,1Q_SOGG,3Q_SOGG,Etichette di riga,1Q_PIEZO.1,3Q_PIEZO.1,1Q_SOGG.1,3Q_SOGG.1
50,BS,PISOGNE,PO0171430RC548,2012-05-16,190.26,soggiacenza statica,2.1,188.16,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
51,BS,PISOGNE,PO0171430RC548,2012-06-12,190.26,soggiacenza statica,3.08,187.18,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
52,BS,PISOGNE,PO0171430RC548,2012-07-26,190.26,soggiacenza statica,3.1,187.16,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
53,BS,PISOGNE,PO0171430RC548,2012-08-22,190.26,soggiacenza statica,2.99,187.27,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
54,BS,PISOGNE,PO0171430RC548,2012-10-18,190.26,soggiacenza statica,2.51,187.75,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
55,BS,PISOGNE,PO0171430RC548,2012-11-14,190.26,soggiacenza statica,2.68,187.58,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
56,BS,PISOGNE,PO0171430RC548,2012-12-11,190.26,soggiacenza statica,3.46,186.8,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
57,BS,PISOGNE,PO0171430RC548,2013-01-15,190.26,soggiacenza statica,3.18,187.08,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
58,BS,PISOGNE,PO0171430RC548,2013-02-28,190.26,soggiacenza statica,2.71,187.55,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
59,BS,PISOGNE,PO0171430RC548,2013-03-27,190.26,soggiacenza statica,4.48,185.78,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004,OUTLIER,2.27,3.06,,,,,
