CODICE,CODICE_SIF,CODICE_FOG,MACROAREE,CODICE_SSG,PROVINCIA,COMUNE,CODICEWISE,RETE,QUANTI_ESECUTORE,STATO,DATA_INIZIO,DATA_FINE,ALTRO_CODICE,SOSTITUITO_DA,SOSTITUISCE,X_GB,Y_GB,X_WGS84,Y_WGS84,ORIGINE_COORDINATE,QUOTA_MISU,QUOTA_PC_SLM,H_BP,PROFONDITA,FILTRI_N,FILTRI_TOP,FILTRI_BOTTOM,USO,TIPO,GWB_2015,Codice WISE Corpo idrico,Nome Corpo Idrico,SONDA AUTOMATICA,NOTE,ORIGINE,lat,lon,ALTRI CODICI,z_PTUA2003,z_CAP,z_Idroscalo2005,z_OLONA,z_Milano1950,z_SSG,STRAT,FALDA,FLT1_DA,FLT1_A,FLT2_DA,FLT2_A
PO0170340RC481,,,4.0,,BS,CALVISANO,IT03GWBISSAPOM_PO0170340RC481,3.0,1,M,2009-07-01 00:00:00,2020-07-01,,,,1603526.0,5027971.0,603498.0,5027951.0,1.0,85.95,85.8,0.15,10.0,1.0,4.0,10.0,INDUSTRIALE,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Oglio - Mella,SI,,PTUA2022,45.397422703675936,10.322346307470406,,,,,,,,,,,,,
PO0170340RC483,,,4.0,,BS,CALVISANO,IT03GWBISSAPOM_PO0170340RC483,1.0,1,M,2009-07-01 00:00:00,2021-01-01,,,,1604597.0,5024878.0,604569.0,5024858.0,1.0,75.97,75.64,0.33,12.0,1.0,6.0,12.0,INDUSTRIALE,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Oglio - Mella,SI,,PTUA2022,45.369429978262616,10.33537071371352,,,,,,,,,,,,,
PO017037NRP001,,,4.0,,BS,CAPRIANO DEL COLLE,IT03GWBISSMPOM_PO017037NRP001,1.0,1,M,2015-07-01 00:00:00,2020-12-01,735,,,1589919.0,5032092.0,589892.0,5032072.0,1.0,86.237,85.787,-0.45,40.0,1.0,30.0,33.0,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS MPOM,IT03GWBISSMPOM,Corpo idrico sotterraneo superficiale di Media pianura Bacino Oglio - Mincio,SI,,PTUA2022,45.43638957738545,10.149298704797696,,,,,,,,,,,,,
PO0170400RC511,,,4.0,,BS,CASTEGNATO,IT03GWBISSAPOM_PO0170400RC511,3.0,2,M,2009-01-01 00:00:00,2020-12-01,,,,1584432.0,5046137.0,584404.0,5046117.0,1.0,157.22,157.28,-0.06,60.0,1.0,37.5,55.5,INDUSTRIALE,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Oglio - Mella,,,PTUA2022,45.56347240999335,10.08156336325926,,,,,,,,,,,,,
PO0170450RC542,,,4.0,,BS,CASTREZZATO,IT03GWBISSAPOM_PO0170450RC542,1.0,2,M,2010-02-01 00:00:00,2017-12-01,,,,1578823.0,5040233.0,578796.0,5040213.0,1.0,129.4,129.92,-0.52,28.0,1.0,15.0,24.0,INDUSTRIALE,POZZO,GWB ISS APOM,IT03GWBISSAPOM,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Oglio - Mella,,,PTUA2022,45.510996050172906,10.008762779990322,,,,,,,,,,,,,
PO0170600UC013,,,4.0,,BS,COMEZZANO - CIZZAGO,IT03GWBISSMPOM_PO0170600UC013,3.0,2,M,2010-01-01 00:00:00,2020-12-01,,,,1574609.0,5036396.0,574582.0,5036376.0,1.0,109.54,108.89,0.65,40.0,1.0,24.0,36.0,POTABILE,POZZO,GWB ISS MPOM,IT03GWBISSMPOM,Corpo idrico sotterraneo superficiale di Media pianura Bacino Oglio - Mincio,,,PTUA2022,45.4769271102981,9.954238596653347,,,,,,,,,,,,,
PO0170710RC478,,,4.0,,BS,FIESSE,IT03GWBISSMPOM_PO0170710RC478,1.0,1,M,2011-03-01 00:00:00,2021-01-01,,,,1604088.0,5008251.0,604060.0,5008231.0,1.0,41.5,40.78,0.72,10.0,1.0,4.0,10.0,INDUSTRIALE,PIEZOMETRO,GWB ISS MPOM,IT03GWBISSMPOM,Corpo idrico sotterraneo superficiale di Media pianura Bacino Oglio - Mincio,SI,,PTUA2022,45.2198787067589,10.325381827298147,,,,,,,,,,,,,
PO017073NUP001,,,4.0,,BS,GAMBARA,IT03GWBISSMPOM_PO017073NUP001,3.0,1,N,2015-04-01 00:00:00,2020-10-01,674,,,1601147.0,5012366.0,601119.0,5012346.0,1.0,48.524,48.324,-0.2,15.0,1.0,10.0,14.0,IRRIGUO,POZZO,GWB ISS MPOM,IT03GWBISSMPOM,Corpo idrico sotterraneo superficiale di Media pianura Bacino Oglio - Mincio,,,PTUA2022,45.25733921290224,10.288769822230407,,,,,,,,,,,,,
PO0170860UC579,,,4.0,,BS,ISORELLA,IT03GWBISSMPOM_PO0170860UC579,3.0,1,N,2009-09-01 00:00:00,2020-10-01,,,,1604146.0,5018664.0,604118.0,5018644.0,1.0,55.48,55.78,-0.3,47.0,1.0,42.0,47.0,IRRIGUO,POZZO,GWB ISS MPOM,IT03GWBISSMPOM,Corpo idrico sotterraneo superficiale di Media pianura Bacino Oglio - Mincio,,,PTUA2022,45.31357761514704,10.3283044267419,,,,,,,,,,,,,
PO0170880RC541,,,4.0,,BS,LENO,IT03GWBISSMPOM_PO0170880RC541,3.0,1,N,2009-06-01 00:00:00,2019-12-01,,,,1596052.0,5022698.0,596024.0,5022678.0,1.0,62.16,62.16,0.0,12.0,1.0,3.0,12.0,INDUSTRIALE,PIEZOMETRO,GWB ISS MPOM,IT03GWBISSMPOM,Corpo idrico sotterraneo superficiale di Media pianura Bacino Oglio - Mincio,SI,,PTUA2022,45.35103507242776,10.22585151079556,,,,,,,,,,,,,
