CODICE,CODICE_SIF,CODICE_FOG,MACROAREE,PROVINCIA,COMUNE,CODICEWISE,RETE,QUANTI_ESECUTORE,STATO,DATA_INIZIO,ALTRO_CODICE,SOSTITUITO_DA,SOSTITUISCE,X_GB,Y_GB,X_WGS84,Y_WGS84,ORIGINE_COORDINATE,QUOTA_MISU,QUOTA_PC_SLM,H_BP,PROFONDITA,FILTRI_N,FILTRI_TOP,FILTRI_BOTTOM,USO,TIPO,GWB_2015,Codice WISE Corpo idrico,Nome Corpo Idrico,SONDA AUTOMATICA,NOTE,ORIGINE,lat,lon,ALTRI CODICI,z_PTUA2003,z_CAP,z_Idroscalo2005,z_Milano1950,z_OLONA,STRAT,FALDA,FLT1_DA,FLT1_A,FLT2_DA,FLT2_A
PO017029NR0001,,,4.0,BS,BRESCIA,IT03GWBISSAPOM_PO017029NR0001,3.0,2,M,2012-01-01,,,,1591999.0,5038838.0,591971.0,5038818.0,1.0,107.06,107.06,0.0,12.0,1.0,3.0,12.0,INDUSTRIALE,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Oglio - Mella,SI,,PTUA2022,45.4968282567343,10.177136886937886,,,,,,,,,,,,
PO017029NU0001,,,4.0,BS,BRESCIA,IT03GWBISSAPOM_PO017029NU0001,3.0,1,M,2012-07-01,,,,1593209.0,5043760.0,593181.0,5043740.0,1.0,139.77,139.77,0.0,45.0,1.0,30.0,45.0,MONITORAGGIO BONIFICA,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Oglio - Mella,SI,vicino barriera idraulica Caffaro,PTUA2022,45.54096145155131,10.193556561701097,,,,,,,,,,,,
PO0170340RC481,,,4.0,BS,CALVISANO,IT03GWBISSAPOM_PO0170340RC481,3.0,1,M,2009-07-01,,,,1603526.0,5027971.0,603498.0,5027951.0,1.0,85.95,85.8,0.15,10.0,1.0,4.0,10.0,INDUSTRIALE,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Oglio - Mella,SI,,PTUA2022,45.397422703675936,10.322346307470406,,,,,,,,,,,,
PO0170340RC483,,,4.0,BS,CALVISANO,IT03GWBISSAPOM_PO0170340RC483,1.0,1,M,2009-07-01,,,,1604597.0,5024878.0,604569.0,5024858.0,1.0,75.97,75.64,0.33,12.0,1.0,6.0,12.0,INDUSTRIALE,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Oglio - Mella,SI,,PTUA2022,45.369429978262616,10.33537071371352,,,,,,,,,,,,
PO017037NRP001,,,4.0,BS,CAPRIANO DEL COLLE,IT03GWBISSMPOM_PO017037NRP001,1.0,1,M,2015-07-01,735,,,1589919.0,5032092.0,589892.0,5032072.0,1.0,86.237,85.787,-0.45,40.0,1.0,30.0,33.0,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS MPOM,IT03GWBISSMPOM,Corpo idrico sotterraneo superficiale di Media pianura Bacino Oglio - Mincio,SI,,PTUA2022,45.43638957738545,10.149298704797696,,,,,,,,,,,,
PO0170400RC511,,,4.0,BS,CASTEGNATO,IT03GWBISSAPOM_PO0170400RC511,3.0,2,M,2009-01-01,,,,1584432.0,5046137.0,584404.0,5046117.0,1.0,157.22,157.28,-0.06,60.0,1.0,37.5,55.5,INDUSTRIALE,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Oglio - Mella,,,PTUA2022,45.56347240999335,10.08156336325926,,,,,,,,,,,,
PO0170450RC542,,,4.0,BS,CASTREZZATO,IT03GWBISSAPOM_PO0170450RC542,1.0,2,M,2010-02-01,,,,1578823.0,5040233.0,578796.0,5040213.0,1.0,129.4,129.92,-0.52,28.0,1.0,15.0,24.0,INDUSTRIALE,POZZO,GWB ISS APOM,IT03GWBISSAPOM,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Oglio - Mella,,,PTUA2022,45.510996050172906,10.008762779990322,,,,,,,,,,,,
PO0170590UC609,,,4.0,BS,COLOGNE,IT03GWBISSAPOM_PO0170590UC609,2.0,,M,,,,,1573715.0,5047385.0,573688.0,5047365.0,2.0,172.98,172.98,,118.0,2.0,69.0,104.0,POTABILE,POZZO,GWB ISS APOM,IT03GWBISSAPOM,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Oglio - Mella,,,PTUA2022,45.57592166920949,9.944455603963187,,,,,,,,,,,,
PO0170600UC013,,,4.0,BS,COMEZZANO - CIZZAGO,IT03GWBISSMPOM_PO0170600UC013,3.0,2,M,2010-01-01,,,,1574609.0,5036396.0,574582.0,5036376.0,1.0,109.54,108.89,0.65,40.0,1.0,24.0,36.0,POTABILE,POZZO,GWB ISS MPOM,IT03GWBISSMPOM,Corpo idrico sotterraneo superficiale di Media pianura Bacino Oglio - Mincio,,,PTUA2022,45.4769271102981,9.954238596653347,,,,,,,,,,,,
PO0170710RC478,,,4.0,BS,FIESSE,IT03GWBISSMPOM_PO0170710RC478,1.0,1,M,2011-03-01,,,,1604088.0,5008251.0,604060.0,5008231.0,1.0,41.5,40.78,0.72,10.0,1.0,4.0,10.0,INDUSTRIALE,PIEZOMETRO,GWB ISS MPOM,IT03GWBISSMPOM,Corpo idrico sotterraneo superficiale di Media pianura Bacino Oglio - Mincio,SI,,PTUA2022,45.2198787067589,10.325381827298147,,,,,,,,,,,,
