PROV,COMUNE - DENOMINAZIONE,CODICE,LOCALITA',X,Y,Q,NOTE,STRAT.,FALDA,PUBBLICO,gen-01,feb-01,mar-01,apr-01,mag-01,giu-01,lug-01,ago-01,set-01,ott-01,nov-01,dic-01,gen-02,feb-02,mar-02,apr-02,mag-02,giu-02,lug-02,ago-02,set-02,ott-02,nov-02,dic-02
BS,LENO - ARPA,18,VIA VIGANOVO 2,1596681,5025535,70.25,,,,,,,,,,,69.97,,,,,,,,,,,,,,,,,
BS,LONATO - ASM,19,Fenil Nuovo,1615024,5035985,159.5,,,2,,,,,,89.95,89.75,90.95,91.85,,,,,89.43,,87.7,86.4,87.79,88.09,89.4,91.35,91.7,,,
BS,LONATO - ASM,20,MADONNA DELLA SCOPERTA-NUOVO,1623515,5028075,104.57,,,,,,,,,66.17,60.67,60.07,60.87,,,,,,,,,,,,,,,,
BS,MONTICHIARI - ASM,21,Vighizzolo Nuovo,1606945,5033055,120.5,,,2,,,,,,93.9,94,94.6,95.1,,,,,88.8,88.1,87.5,87.4,88.4,89,90,91.8,92,,,
BS,MONTIRONE - ASM,23,via Mercanti,1596004,5033224,100.8,,,1,,,,,,94,92.8,92.7,92.8,,,,,93.2,93.3,92.7,92.4,92.85,92,92.05,93.6,93.97,,,
BS,NAVE - ASM,24,Prada,1598442,5048284,206,,,2,,,,,,180.87,180.32,179.17,,,,,,172.07,,,178.52,176.82,176.79,175.87,175.88,174.62,174.47,,
BS,OFFLAGA - ASM,25,Cignano,1586697,5025513,73,,,2,,,,,,67.45,63.4,,65.55,,,,,,67.46,,,,65.48,,67.4,67.62,,,
BS,PAVONE DEL MELLA - ASM,26,VIA GIOVANNI XXIII,1594740,5016924,54,,,,,,,,,47.8,,,,,,,,,,,,,,,,,,,
BS,POMPIANO - COGEME,28,via Noce,1577244,5031736,93.7,,,1,,,,,,,86.95,,,,,,,,,89.24,89.26,89.57,87.47,88.17,89.29,,,,
BS,PROVAGLIO D'ISEO - COGEME,29,Pozzo Nuovo,1580523,5053088,208,,X,3,,,,,,,116.4,,,,,,,,,113.68,113.19,112.68,112.45,112.92,114.03,,,,
BS,REMEDELLO - ARPA,30,VIA L. DA VINCI (REMEDELLO SOPRA),1607659,5014579,45.5,,,,,,,,,,45.22,,,,,,,,,,,,,,,,,,
BS,REZZATO - ASM,31,via Gardesana - Treponti,1604156,5040364,148,,,2,,,,,,119.35,120.19,,122.68,,,,,,,,,,118.63,,121.17,120.88,,,
BS,RODENGO-SAIANO - ASM,32,Santa di Padergnone,1586957,5049659,172.4,,,2,,,,,,115.9,,,,,,,,115.01,114.18,113.66,,112.91,112.51,112.51,114.21,113.91,,,
BS,TRAVAGLIATO - ASM,33,mulini via Valverde,1584265,5042055,132.5,,,2,,,,,,114.24,114.34,,115.82,,,,,,,112.5,,,112.25,,115.12,114.94,,,
BS,URAGO D'OGLIO - COGEME,34,via Castelcovati,1568653,5040167,131,,X,2,,,,,,,117.24,,,,,,,,,114.68,,115.39,116.54,117.54,117.92,,,,
BS,VEROLAVECCHIA - COGEME,35,Vill. Paolo VI,1582350,5019890,64,,X,3,,,,,,,,,,,,,,,,54.56,52.62,,50.61,50.38,49.17,,,,
BS,VILLA CARCINA - ARPA,36,via dei Cairoli,1593295,5053355,232.5,,,2,,,,,,224.6,,,,,,,,,,215.19,216.3,221.02,221.26,220.46,,218.2,,,
BS,MONTICHIARI - ASM,45,Loc. Ro',1606700,5031100,104.85,,X,,,,,,,89.6,90,90,90.15,,,,,85.3,84.7,84.1,84.2,85.1,85.3,86.1,87.8,88,,,
BS,LONATO - ASM,47,Centenaro,1621050,5031077,103.1,,X,,,,,,,64.7,59.2,58.6,59.4,,,,,64.62,,63.81,63.43,63.07,60.45,59.35,63.8,65.06,,,
BS,CAZZAGO SAN MARTINO - COGEME,48,Valle Bornato,1580570,5049919,196.65,,X,,,,,,,,,,,,,,,,,114.93,114.34,114.33,114.46,115.39,116.8,,,,
CO,MOZZATE - Aqua Seprio spa - pozzo 4,1 (2),via Libertà,1495999,5058550,262.6,,X,2,,,,,,,,,,224.3,223.7,224,224.6,,225.9,226,226,226.1,,,226.8,226.6,,,
CO,CARBONATE -Acqua Serpio spa,1,via Giovanni XXIII,,,186,,,,,,,,,,,,,,224.1,223.9,224,,,,,,,,,,,,
CO,APPIANO GENTILE - Comune,7,Via Mazzini,1498475,5064290,352,,,2,,,,,,,,,,,,262.7,263.86,,,,,,,,,,,,
CO,TURATE - Comune - pozzo 6,2(3),C.I.E. n.2,1501039,5054988,240,,X,2,,,,,,,,,,188.85,,195.4,195.4,,,192.41,192.41,192.34,192.31,192.78,193.06,193.16,,,
CO,ROVELLASCA - Cons. Lura Ambiente - pozzo 2,3(5),via Dante,1504185,5057342,247,,X,MISTA,,,,,,,,,,198.5,197.9,,,,197.9,197.5,197.2,197.1,,,,,,,
CO,FENEGRO' - Antiga Spa - pozzo 2,4(6),Via Trento,1500090,5061970,305,,X,2,,,,,,,,,,252.5,,251.9,251.65,,250.92,250.78,250.76,251.07,251.6,251.67,251.63,251.6,,,
CO,LIMIDO COMASCO - Antiga Spa - pozzo 2,5,via Vicolo Scalini,1498324,5059851,280,,X,2,,,,,,,,,,,,,,,230.06,230.05,229.81,229.82,230.01,229.97,229.79,229.93,,,
CO,BULGAROGRASSO- Az. Colline Comasche-pozzo 1,6(8),via Montichiari,1500420,5065600,327,,X,2,,,,,,,,,,274,,273.8,,,284.7,284.71,284.2,286.69,286.95,285.32,***,***,,,
CO,BREGNANO - Cons. Lura Ambiente - pozzo 6,7(9),loc. Puginate,1503775,5061925,285,,X,2,,,,,,,227.8,,,229.2,229.2,,,,228.5,228.6,228.4,228.4,,,,,,,
CO,FINO MORNASCO - Az.Colline Comasche - pozzo 2,8(10),Cascina Pazzea,1504625,5065990,299,,X,2,,,,,,,285.6,,,284,284.6,284.3,285.14,,282.63,283.69,284,286.43,286.03,285.41,284.45,284.37,,,
CO,CARIMATE - Canturina Servizi spa - pozzo 2,9(12),Valle Serenza,1508600,5060822,244,,x,2,,,,,,,209.2,,,214.05,208.5,208.2,207.82,,,,,206.68,205.85,,206.75,,,,
CO,CANTU' - p. Asnago 4- Canturina Servizi spa,13,Asnago,,,260,,,,,,,,,,227.7,,,229.9,228.7,228.5,227.61,,,,,,,,,,,,
CO,CANTU' - Canturina Servizi spa - pozzo S. Antonino,10 (14),Cascna S.Antonino,1509350,5065650,305,,X,2,,,,,,,,,,224.2,224.6,225.1,224.96,,224.07,224.31,,224.62,224.22,,224.26,,,,
CO,BRENNA - Soc. Pragma Spa - pozzo 3,11(15),Loc. Pozzolo,1514972,5064371,342,,X,2,,,,,,,287.3,,,286,286,285.8,285.15,,278.3,,,,284.75,,,,,,
